z_mm,r_undeformed_mm,r_deformed_mm,delta_um
0.000,2.4331,2.4330,-0.055
0.002,2.4331,2.4331,0.046
0.004,2.4331,2.4333,0.161
0.006,2.4331,2.4333,0.231
0.008,2.4331,2.4334,0.264
0.010,2.4331,2.4334,0.280
0.012,2.4331,2.4334,0.289
0.014,2.4331,2.4334,0.295
0.016,2.4331,2.4334,0.303
0.018,2.4331,2.4334,0.305
0.020,2.4331,2.4333,0.254
0.022,2.4331,2.4332,0.110
0.024,2.4331,2.4333,0.186
0.026,2.4331,2.4334,0.281
0.028,2.4331,2.4333,0.247
0.030,2.4331,2.4332,0.132
