z_mm,r_undeformed_mm,r_deformed_mm,delta_um
0.000,2.4508,2.4509,0.083
0.002,2.4508,2.4510,0.197
0.004,2.4508,2.4509,0.075
0.006,2.4508,2.4509,0.058
0.008,2.4508,2.4509,0.070
0.010,2.4508,2.4509,0.091
0.012,2.4508,2.4510,0.121
0.014,2.4508,2.4510,0.156
0.016,2.4508,2.4510,0.197
0.018,2.4508,2.4511,0.260
0.020,2.4508,2.4510,0.180
0.022,2.4508,2.4496,-1.212
0.024,2.4508,2.4505,-0.351
0.026,2.4508,2.4510,0.141
0.028,2.4508,2.4509,0.072
0.030,2.4508,2.4509,0.027
