z_mm,r_undeformed_mm,r_deformed_mm,delta_um
0.000,2.4508,2.4509,0.044
0.002,2.4508,2.4509,0.092
0.004,2.4508,2.4509,0.101
0.006,2.4508,2.4509,0.109
0.008,2.4508,2.4510,0.130
0.010,2.4508,2.4510,0.164
0.012,2.4508,2.4510,0.209
0.014,2.4508,2.4511,0.261
0.016,2.4508,2.4512,0.333
0.018,2.4508,2.4513,0.460
0.020,2.4508,2.4510,0.196
0.022,2.4508,2.4487,-2.112
0.024,2.4508,2.4501,-0.724
0.026,2.4508,2.4512,0.354
0.028,2.4508,2.4491,-1.688
0.030,2.4508,2.4450,-5.829
