
 displacements (vx,vy,vz) for set NPIA_Z30 and time  0.1000000E+00

     17618 -1.434303E-07  1.354954E-07  3.921923E-07
     17619 -1.643907E-07  1.134002E-07  3.915474E-07
     17620 -1.812638E-07  8.767693E-08  3.909607E-07
     17621 -1.933638E-07  5.979981E-08  3.907074E-07
     17622 -2.009258E-07  3.032248E-08  3.905683E-07
     17623 -2.034820E-07  1.675327E-20  3.905388E-07
     17624 -2.009258E-07 -3.032248E-08  3.905683E-07
     17625 -1.933638E-07 -5.979981E-08  3.907074E-07
     17626 -1.812638E-07 -8.767693E-08  3.909607E-07
     17627 -1.643907E-07 -1.134002E-07  3.915474E-07
     17628 -1.434303E-07 -1.354954E-07  3.921923E-07
     18009 -1.203719E-07 -1.554283E-07  3.927504E-07
     18010 -9.385533E-08 -1.713723E-07  3.932623E-07
     18011 -6.537405E-08 -1.828276E-07  3.939108E-07
     18012 -3.542071E-08 -1.901641E-07  3.943967E-07
     18013 -4.633967E-09 -1.929767E-07  3.946703E-07
     18014  2.627297E-08 -1.911286E-07  3.946713E-07
     18015  5.655837E-08 -1.846093E-07  3.944768E-07
     18016  8.550696E-08 -1.737115E-07  3.941493E-07
     18017  1.125267E-07 -1.580082E-07  3.939852E-07
     18018  1.360294E-07 -1.380166E-07  3.937976E-07
     18399  1.573191E-07 -1.156179E-07  3.935289E-07
     18400  1.743914E-07 -8.942618E-08  3.932878E-07
     18401  1.865856E-07 -6.099242E-08  3.933150E-07
     18402  1.941779E-07 -3.092299E-08  3.933600E-07
     18403  1.967392E-07 -6.411331E-21  3.933944E-07
     18404  1.941779E-07  3.092299E-08  3.933600E-07
     18405  1.865856E-07  6.099242E-08  3.933150E-07
     18406  1.743914E-07  8.942618E-08  3.932878E-07
     18407  1.573191E-07  1.156179E-07  3.935289E-07
     18408  1.360294E-07  1.380166E-07  3.937976E-07
     18751  1.125267E-07  1.580082E-07  3.939852E-07
     18752  8.550696E-08  1.737115E-07  3.941493E-07
     18753  5.655837E-08  1.846093E-07  3.944768E-07
     18754  2.627297E-08  1.911286E-07  3.946713E-07
     18755 -4.633967E-09  1.929767E-07  3.946703E-07
     18756 -3.542071E-08  1.901641E-07  3.943967E-07
     18757 -6.537405E-08  1.828276E-07  3.939108E-07
     18758 -9.385533E-08  1.713723E-07  3.932623E-07
     18759 -1.203719E-07  1.554283E-07  3.927504E-07

 displacements (vx,vy,vz) for set NDURA_Z30 and time  0.1000000E+00

     20014 -4.531773E-08  9.938780E-09 -1.077766E-07
     20017 -4.949119E-08  1.031754E-08 -1.177426E-07
     20020 -5.391120E-08  9.613577E-09 -1.268837E-07
     20023 -5.787863E-08  7.510704E-09 -1.342402E-07
     20026 -6.064372E-08  4.133104E-09 -1.390118E-07
     20029 -6.163619E-08 -3.000200E-21 -1.406653E-07
     20032 -6.064372E-08 -4.133104E-09 -1.390118E-07
     20035 -5.787863E-08 -7.510704E-09 -1.342402E-07
     20038 -5.391120E-08 -9.613577E-09 -1.268837E-07
     20041 -4.949119E-08 -1.031754E-08 -1.177426E-07
     20044 -4.531773E-08 -9.938780E-09 -1.077766E-07
     21187 -4.181623E-08 -9.132042E-09 -9.797515E-08
     21190 -3.898237E-08 -8.622641E-09 -8.921320E-08
     21193 -3.645781E-08 -9.008182E-09 -8.216188E-08
     21196 -3.365653E-08 -1.057786E-08 -7.722592E-08
     21199 -2.996267E-08 -1.321608E-08 -7.452455E-08
     21202 -2.494004E-08 -1.644745E-08 -7.391784E-08
     21205 -1.847410E-08 -1.958611E-08 -7.506565E-08
     21208 -1.080725E-08 -2.192737E-08 -7.750580E-08
     21211 -2.470010E-09 -2.292161E-08 -8.073346E-08
     21214  5.868375E-09 -2.228978E-08 -8.426674E-08
     22357  1.355785E-08 -2.003017E-08 -8.769113E-08
     22360  2.002259E-08 -1.632136E-08 -9.066765E-08
     22363  2.485677E-08 -1.149158E-08 -9.295049E-08
     22366  2.782907E-08 -5.925497E-09 -9.437891E-08
     22369  2.883017E-08 -6.936119E-22 -9.486438E-08
     22372  2.782907E-08  5.925497E-09 -9.437891E-08
     22375  2.485677E-08  1.149158E-08 -9.295049E-08
     22378  2.002259E-08  1.632136E-08 -9.066765E-08
     22381  1.355785E-08  2.003017E-08 -8.769113E-08
     22384  5.868375E-09  2.228978E-08 -8.426674E-08
     23413 -2.470010E-09  2.292161E-08 -8.073346E-08
     23416 -1.080725E-08  2.192737E-08 -7.750580E-08
     23419 -1.847410E-08  1.958611E-08 -7.506565E-08
     23422 -2.494004E-08  1.644745E-08 -7.391784E-08
     23425 -2.996267E-08  1.321608E-08 -7.452455E-08
     23428 -3.365653E-08  1.057786E-08 -7.722592E-08
     23431 -3.645781E-08  9.008182E-09 -8.216188E-08
     23434 -3.898237E-08  8.622641E-09 -8.921320E-08
     23437 -4.181623E-08  9.132042E-09 -9.797515E-08
