  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90046362e-01   9.90000000e-01
     1       3   9.29574056e-01   9.20760635e-05
     1       4   3.30341360e-04   9.21571715e-04
     1       5   5.03217901e-04   3.73185762e-07
     1       6   8.18219281e-08   2.63776196e-07
     2       1   4.84155632e-07   5.00056219e-01
     2       2   4.97609205e-01   1.30082065e-09
     2       3   2.65146001e-05   5.23471277e-04
     3       1   5.74877689e-04   3.33365430e-01
     3       2   3.33243332e-01   3.79750997e-07
     3       3   8.67142235e-05   3.51295661e-04
     4       1   3.87632552e-04   2.50026570e-01
     4       2   2.50582322e-01   3.12896609e-07
     4       3   6.71218054e-05   2.65096924e-04
     5       1   2.93548697e-04   2.00017102e-01
     5       2   2.00874320e-01   2.59451345e-07
     5       3   6.86666815e-05   2.13391007e-04
     6       1   2.70468903e-04   1.66686120e-01
     6       2   1.67688062e-01   7.36630417e-07
     6       3   3.25089248e-04   1.78973709e-04
     6       4   3.35619858e-04   2.24589343e-06
     6       5   3.18799044e-04   6.83097439e-07
     6       6   2.11483003e-04   1.30754479e-07
     6       7   1.95396294e-04   1.46398552e-07
     6       8   3.16206599e-06   1.11267234e-08
     7       1   2.23325061e-07   1.42869127e-01
     7       2   1.43950573e-01   4.84793679e-08
     7       3   1.61912853e-04   1.54510828e-04
     7       4   1.87764348e-04   1.11206056e-06
     7       5   1.08980725e-04   1.82352859e-07
     7       6   4.91212305e-05   7.81978260e-08
