  Time  Coordinate0  Coordinate1  Coordinate2  Displacements0  Displacements1  Displacements2  Forces0  Forces1  Forces2
 0.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -3.00455572e-07  -5.81127954e-17   1.05368572e-06  -4.10615580e-05   4.48148192e-17   2.62655586e-08
 2.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -2.82398288e-07  -7.86278941e-16   1.17572427e-06  -8.20991879e-05  -4.74345862e-17   9.66494324e-08
 3.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -2.63635174e-07  -2.56910456e-14   1.29724705e-06  -1.23104501e-04  -9.31646054e-15   2.11265992e-07
 4.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -2.44215727e-07  -2.06145432e-12   1.41820300e-06  -1.64079176e-04   1.43852719e-13   3.70104947e-07
 5.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -2.24139751e-07  -1.23680663e-12   1.53858822e-06  -2.05021705e-04   8.29687657e-12   5.73238815e-07
 6.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -2.03353761e-07  -1.04692659e-12   1.65846325e-06  -2.45934534e-04   6.93348329e-13   8.20747926e-07
 7.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -1.81960971e-07  -1.69950935e-11   1.77771422e-06  -2.86814913e-04   1.11957302e-11   1.11265952e-06
