  Time  Coordinate0  Coordinate1  Coordinate2  Displacements0  Displacements1  Displacements2  Forces0  Forces1  Forces2
 0.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -1.69246717e-07  -2.25044263e-16   5.37003818e-09   5.10645999e-05   5.86519494e-17   6.75081545e-08
 2.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -1.28152067e-07  -2.11822977e-16  -1.54254733e-07   1.02195003e-04   4.84684958e-17   2.94572660e-07
 3.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -8.62767592e-08  -3.18937443e-15  -3.13931475e-07   1.53380533e-04   2.34272542e-15   6.82084840e-07
 4.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -4.36853853e-08  -2.51879225e-13  -4.73668477e-07   2.04622908e-04  -1.35954218e-14   1.23067513e-06
 5.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -3.76055076e-10  -1.52247087e-13  -6.33456883e-07   2.55919921e-04  -9.20370439e-13   1.94101302e-06
 6.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   4.37289889e-08  -1.31935580e-13  -7.93294489e-07   3.07274337e-04  -6.92770341e-14   2.81442279e-06
 7.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   8.84868812e-08  -2.19984949e-12  -9.53182758e-07   3.58682294e-04  -1.28607478e-12   3.85054646e-06
