  TimeWindow  TotalIterations  Iterations  Convergence
     1       6       6       1
     2       9       3       1
     3      12       3       1
     4      15       3       1
     5      18       3       1
     6      21       3       1
     7      27       6       1
     8      30       3       1
     9      33       3       1
    10      46      13       1
