  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90291177e-01   9.90000000e-01
     1       3   9.89545568e-01   7.09843516e-05
     1       4   4.33864524e-04   2.37932482e-03
     1       5   1.72361057e-03   6.32203575e-06
     1       6   6.02757258e-07   4.10071838e-06
     2       1   4.52888033e-06   5.00066360e-01
     2       2   4.97636780e-01   4.78623506e-08
     2       3   3.11225445e-05   1.22390799e-03
     2       4   1.48120666e-04   3.36467555e-06
     2       5   1.23543594e-06   4.25136901e-07
     3       1   1.81012994e-06   3.33371231e-01
     3       2   3.31123997e-01   5.34287406e-08
     3       3   1.42029211e-05   8.13285549e-04
     4       1   7.90682803e-04   2.50028050e-01
     4       2   2.46714260e-01   1.05846587e-05
     4       3   2.40109979e-05   6.04754359e-04
     5       1   5.84266806e-04   2.00021863e-01
     5       2   1.98381738e-01   3.72426382e-06
     5       3   2.57418068e-05   4.90366475e-04
