  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
   210     807       4       1      14       2       0
   211     811       4       1      14       3       0
   212     815       4       1      14       3       0
   213     819       4       1      14       3       0
   214     823       4       1      14       3       0
   215     827       4       1      14       3       0
   216     831       4       1      14       3       0
   217     834       3       1      13       3       0
   218     837       3       1      13       2       0
   219     840       3       1      13       2       0
   220     843       3       1      14       1       0
   221     846       3       1      14       2       0
   222     849       3       1      13       3       0
   223     852       3       1      13       2       0
   224     855       3       1      14       1       0
   225     858       3       1      14       2       0
   226     862       4       1      15       2       0
   227     865       3       1      16       1       0
   228     868       3       1      15       3       0
   229     871       3       1      15       2       0
   230     874       3       1      16       1       0
   231     877       3       1      15       3       0
   232     880       3       1      16       1       0
   233     883       3       1      16       2       0
   234     886       3       1      16       2       0
   235     889       3       1      16       2       0
   236     892       3       1      16       2       0
   237     895       3       1      16       2       0
   238     898       3       1      16       2       0
   239     901       3       1      16       2       0
   240     904       3       1      16       2       0
   241     907       3       1      16       2       0
   242     910       3       1      16       2       0
   243     913       3       1      16       2       0
   244     916       3       1      16       2       0
   245     919       3       1      16       2       0
   246     922       3       1      16       2       0
   247     925       3       1      16       2       0
   248     928       3       1      16       2       0
   249     931       3       1      16       2       0
   250     934       3       1      16       2       0
   251     937       3       1      16       2       0
   252     940       3       1      16       1       1
   253     943       3       1      14       4       0
   254     946       3       1      14       2       0
   255     949       3       1      15       1       0
   256     952       3       1      15       2       0
   257     955       3       1      15       2       0
   258     958       3       1      15       2       0
   259     961       3       1      15       2       0
   260     964       3       1      15       2       0
   261     967       3       1      13       4       0
   262     970       3       1      13       2       0
   263     973       3       1      13       2       0
   264     976       3       1      13       2       0
   265     979       3       1      13       2       0
   266     982       3       1      13       2       0
   267     985       3       1      13       2       0
   268     988       3       1      13       2       0
   269     991       3       1      13       2       0
   270     994       3       1      13       2       0
   271     997       3       1      13       2       0
   272    1000       3       1      13       2       0
   273    1003       3       1      13       2       0
   274    1006       3       1      13       2       0
   275    1009       3       1      12       3       0
   276    1012       3       1      13       1       0
