  Time  Coordinate0  Coordinate1  Coordinate2  Displacements0  Displacements1  Displacements2  Forces0  Forces1  Forces2
 0.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -2.93923252e-07  -1.11715861e-16   1.09831540e-06  -5.60412978e-05   1.15021780e-16   4.68436941e-08
 2.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -2.68812915e-07   7.40284903e-18   1.26444894e-06  -1.12034201e-04  -2.63238782e-17   1.75926346e-07
 3.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -2.42384130e-07   2.41215347e-16   1.42962016e-06  -1.67967686e-04   2.24690334e-15   3.87496758e-07
 4.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -2.14730505e-07   1.50411082e-16   1.59373307e-06  -2.23843260e-04   4.64942272e-15   6.81574361e-07
 5.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -1.85849926e-07   9.44335376e-16   1.75678867e-06  -2.79660931e-04   1.20709005e-14   1.05835019e-06
 6.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -1.55739415e-07  -4.97843061e-15   1.91878714e-06  -3.35420797e-04   2.22179664e-15   1.51797941e-06
 7.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -1.24396663e-07   1.89019415e-14   2.07972927e-06  -3.91122959e-04   4.70689161e-14   2.06062326e-06
 8.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -9.18189534e-08  -5.38147995e-14   2.23961558e-06  -4.46767508e-04  -9.94591897e-14   2.68644937e-06
 9.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -5.80037946e-08   1.77870542e-13   2.39844654e-06  -5.02354547e-04   4.32966302e-13   3.39563291e-06
 1.00000000e+01   1.55000000e-03   0.00000000e+00   3.00000000e-02  -2.29487275e-08  -1.54184354e-12   2.55622272e-06  -5.57884150e-04  -1.17111343e-12   4.18835447e-06
