  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90079613e-01   9.90000000e-01
     1       3   9.61104240e-01   8.75454090e-05
     1       4   3.43258892e-04   1.31429721e-03
     1       5   6.72036064e-04   9.99929430e-07
     1       6   9.58150117e-08   4.97707199e-07
     2       1   7.89912441e-07   5.00055120e-01
     2       2   4.99065633e-01   4.52271724e-09
     2       3   2.63570694e-05   7.15874176e-04
     3       1   7.88828267e-04   3.33365581e-01
     3       2   3.33965796e-01   9.28670365e-07
     3       3   8.74495093e-05   4.81688954e-04
     4       1   5.32995349e-04   2.50024586e-01
     4       2   2.51138180e-01   8.74568163e-07
     4       3   6.61926628e-05   3.64313902e-04
     5       1   4.04284907e-04   2.00019639e-01
     5       2   2.01385996e-01   8.01982634e-07
     5       3   5.40547098e-05   2.94161677e-04
     6       1   3.27330255e-04   1.66683055e-01
     6       2   1.68197764e-01   7.11590686e-07
     6       3   4.64042581e-05   2.47273429e-04
     7       1   2.75835704e-04   1.42871138e-01
     7       2   1.44479817e-01   6.63066755e-07
     7       3   4.05089456e-05   2.13917890e-04
     8       1   2.39231514e-04   1.25012168e-01
     8       2   1.26691035e-01   6.13728511e-07
     8       3   3.66213622e-05   1.88870430e-04
     9       1   2.11728975e-04   1.11121824e-01
     9       2   1.12853422e-01   6.36394197e-07
     9       3   3.35854154e-05   1.69379717e-04
    10       1   1.90329115e-04   1.00009620e-01
    10       2   1.01783283e-01   5.79600066e-07
    10       3   3.13490645e-05   1.53815204e-04
