  Time  Coordinate0  Coordinate1  Coordinate2  Displacements0  Displacements1  Displacements2  Forces0  Forces1  Forces2
 0.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -1.54306927e-07  -3.92319350e-16  -5.28754422e-08   6.97173958e-05   1.20286302e-16   1.31894217e-07
 2.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -9.77182013e-08  -5.83463933e-16  -2.70809211e-07   1.39552429e-04   2.99475275e-16   5.61406881e-07
 3.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -3.96677392e-08   1.47570274e-16  -4.88841652e-07   2.09490736e-04   1.81237692e-15   1.29085120e-06
 4.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   1.97236264e-08   3.24251583e-16  -7.06977157e-07   2.79533251e-04   2.90756426e-15   2.32183757e-06
 5.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   8.04641428e-08  -5.08882290e-16  -9.25206644e-07   3.49679152e-04   6.85586265e-15   3.65618466e-06
 6.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   1.42563238e-07  -1.43772171e-16  -1.14352287e-06   4.19927693e-04   1.25682224e-14   5.29578210e-06
 7.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   2.06029264e-07   3.19542981e-15  -1.36191675e-06   4.90278114e-04   1.37605280e-14   7.24257123e-06
 8.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   2.70871229e-07  -6.11755044e-15  -1.58038066e-06   5.60729630e-04   3.77402543e-14   9.49854762e-06
 9.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   3.37097737e-07   2.52239591e-14  -1.79890599e-06   6.31281452e-04  -1.55608965e-14   1.20657603e-05
 1.00000000e+01   2.35000000e-03   0.00000000e+00   3.00000000e-02   4.04717381e-07  -1.94746696e-13  -2.01748418e-06   7.01932739e-04   1.73275602e-13   1.49463056e-05
