  TimeWindow  TotalIterations  Iterations  Convergence
   345    1219       3       1
   346    1222       3       1
   347    1225       3       1
   348    1228       3       1
   349    1231       3       1
   350    1234       3       1
   351    1237       3       1
   352    1240       3       1
   353    1243       3       1
   354    1246       3       1
   355    1249       3       1
   356    1252       3       1
   357    1255       3       1
   358    1258       3       1
   359    1261       3       1
   360    1264       3       1
   361    1267       3       1
   362    1270       3       1
   363    1273       3       1
   364    1276       3       1
   365    1279       3       1
   366    1282       3       1
   367    1285       3       1
   368    1288       3       1
   369    1291       3       1
   370    1294       3       1
   371    1297       3       1
   372    1300       3       1
   373    1303       3       1
   374    1306       3       1
   375    1309       3       1
   376    1312       3       1
   377    1315       3       1
   378    1318       3       1
   379    1321       3       1
   380    1324       3       1
   381    1327       3       1
   382    1330       3       1
   383    1333       3       1
   384    1336       3       1
   385    1339       3       1
   386    1342       3       1
   387    1345       3       1
   388    1348       3       1
   389    1351       3       1
   390    1354       3       1
   391    1357       3       1
   392    1360       3       1
   393    1363       3       1
   394    1366       3       1
   395    1369       3       1
   396    1372       3       1
   397    1375       3       1
   398    1378       3       1
   399    1381       3       1
   400    1384       3       1
   401    1387       3       1
   402    1390       3       1
   403    1393       3       1
   404    1396       3       1
   405    1399       3       1
   406    1402       3       1
   407    1405       3       1
   408    1408       3       1
   409    1411       3       1
   410    1414       3       1
   411    1417       3       1
   412    1420       3       1
   413    1423       3       1
   414    1426       3       1
   415    1429       3       1
   416    1432       3       1
   417    1435       3       1
   418    1438       3       1
   419    1441       3       1
   420    1444       3       1
   421    1447       3       1
   422    1450       3       1
   423    1453       3       1
   424    1456       3       1
   425    1459       3       1
   426    1462       3       1
   427    1465       3       1
   428    1468       3       1
   429    1471       3       1
   430    1474       3       1
   431    1477       3       1
   432    1480       3       1
   433    1483       3       1
   434    1486       3       1
   435    1489       3       1
   436    1492       3       1
   437    1495       3       1
   438    1498       3       1
   439    1501       3       1
   440    1504       3       1
   441    1507       3       1
   442    1510       3       1
   443    1513       3       1
   444    1516       3       1
   445    1519       3       1
   446    1522       3       1
   447    1525       3       1
   448    1528       3       1
   449    1531       3       1
   450    1534       3       1
   451    1537       3       1
   452    1540       3       1
   453    1543       3       1
   454    1546       3       1
   455    1549       3       1
   456    1552       3       1
   457    1555       3       1
   458    1558       3       1
   459    1561       3       1
   460    1564       3       1
   461    1567       3       1
   462    1570       3       1
   463    1573       3       1
   464    1576       3       1
   465    1579       3       1
   466    1582       3       1
   467    1585       3       1
   468    1588       3       1
   469    1591       3       1
   470    1594       3       1
   471    1597       3       1
   472    1600       3       1
   473    1603       3       1
   474    1606       3       1
   475    1609       3       1
   476    1612       3       1
   477    1615       3       1
   478    1618       3       1
   479    1621       3       1
   480    1624       3       1
   481    1627       3       1
   482    1630       3       1
   483    1633       3       1
   484    1636       3       1
   485    1639       3       1
   486    1642       3       1
   487    1645       3       1
   488    1648       3       1
   489    1651       3       1
   490    1654       3       1
   491    1657       3       1
   492    1660       3       1
   493    1663       3       1
   494    1666       3       1
   495    1669       3       1
   496    1672       3       1
   497    1675       3       1
   498    1678       3       1
   499    1681       3       1
   500    1684       3       1
