  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90076054e-01   9.90000000e-01
     1       3   9.59104682e-01   8.78461097e-05
     1       4   3.42497758e-04   1.27684494e-03
     1       5   6.55767031e-04   9.21691487e-07
     1       6   9.40633894e-08   4.72189566e-07
     2       1   7.57033922e-07   5.00055171e-01
     2       2   4.98963022e-01   4.10260482e-09
     2       3   2.64210006e-05   6.97401090e-04
     3       1   7.68282248e-04   3.33365656e-01
     3       2   3.33930058e-01   7.70261902e-07
     3       3   8.72499352e-05   4.69093021e-04
     4       1   5.18913804e-04   2.50024683e-01
     4       2   2.51105873e-01   7.36319579e-07
     4       3   6.60054312e-05   3.54878169e-04
     5       1   3.93769494e-04   2.00019676e-01
     5       2   2.01354569e-01   6.35440370e-07
     5       3   5.51556739e-05   2.86322799e-04
     6       1   3.18782554e-04   1.66683095e-01
     6       2   1.68161482e-01   5.38924992e-07
     6       3   5.64738747e-05   2.40712857e-04
     7       1   2.72111914e-04   1.42871157e-01
     7       2   1.44441329e-01   6.28271589e-07
     7       3   1.12521708e-04   2.08123250e-04
     7       4   1.32384514e-04   2.16016450e-06
     7       5   1.30071066e-04   9.95850412e-07
     7       6   1.04041853e-06   1.61586293e-07
     8       1   3.72998102e-06   1.25012152e-01
     8       2   1.26631906e-01   8.46641091e-08
     8       3   9.71318200e-06   1.82769420e-04
     9       1   2.04867655e-04   1.11121786e-01
     9       2   1.12599027e-01   3.53312111e-06
     9       3   3.42558514e-05   1.65355018e-04
    10       1   2.05150829e-04   1.00009601e-01
    10       2   1.01711151e-01   1.22151132e-06
    10       3   1.13805126e-03   1.48299908e-04
    10       4   1.16668752e-03   1.52596525e-04
    10       5   1.69189780e-02   4.16104919e-05
    10       6   1.70692931e-02   1.09987020e-06
    10       7   3.82905819e-04   7.43913337e-07
    10       8   1.61935303e-04   7.76012714e-07
    10       9   1.72434166e-04   7.14336297e-07
    10      10   1.71881449e-04   7.05153361e-07
    10      11   2.26848330e-04   3.78265990e-07
    10      12   1.30034358e-04   3.50058215e-07
    10      13   2.72301000e-05   1.93748640e-07
