  Time  Coordinate0  Coordinate1  Coordinate2  Displacements0  Displacements1  Displacements2  Forces0  Forces1  Forces2
 0.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -2.94553352e-07  -1.14939266e-16   1.09403900e-06  -5.46050898e-05   6.94578134e-17   4.46130432e-08
 2.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -2.70130066e-07  -2.49803116e-15   1.25595458e-06  -1.09164490e-04   1.15716008e-15   1.67297695e-07
 3.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -2.44455295e-07   6.11674272e-14   1.41695661e-06  -1.63667417e-04   1.12971802e-14   3.68287512e-07
 4.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -2.17617927e-07  -1.56726896e-13   1.57695387e-06  -2.18115438e-04  -2.54518036e-13   6.47596922e-07
 5.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -1.89615849e-07   1.41398062e-12   1.73594724e-06  -2.72508440e-04   9.04462198e-13   1.00540345e-06
 6.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -1.60446601e-07  -3.46518760e-12   1.89393713e-06  -3.26846554e-04  -7.19234204e-12   1.44185041e-06
 7.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -1.30018775e-07   2.65079662e-12   2.05102120e-06  -3.81129754e-04  -4.95039975e-12   1.95711168e-06
 8.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -9.85984721e-08   1.02986745e-11   2.20690945e-06  -4.35358533e-04  -1.94033184e-11   2.55131854e-06
 9.00000000e+00   1.55000000e-03   0.00000000e+00   3.00000000e-02  -6.59158962e-08   3.57521932e-11   2.36189168e-06  -4.89532459e-04  -6.50345919e-11   3.22455482e-06
 1.00000000e+01   1.55000000e-03   0.00000000e+00   3.00000000e-02  -3.19635848e-08   6.43056248e-12   2.51596727e-06  -5.43651727e-04  -1.57079398e-11   3.97714658e-06
