case,n_cells,Umag_max,Umag_p99,Umag_p95,Umag_avg,Re_max,Re_avg,U_Stokes_scale,ratio_U_Stokes,mu_r,sig_r,mu_th,sig_th,mu_z,sig_z,amp_axial_Uz,snr_axial,amp_azim_Ut,snr_azim,verdict
on-fsi-2,5760,2.561124e-04,2.350577e-04,2.090476e-04,1.108398e-04,2.048899e-01,8.867182e-02,1.066400e+03,2.401654e-07,-2.503766e-06,1.952791e-05,-5.544361e-09,7.638252e-05,+7.676852e-05,6.030731e-05,1.599927e-04,2.6530,3.473706e-04,2.9738,"EQUILIBRIO ESTATICO (|U| e' ruido numerico, Re_max=0.20<1, |U|/U_Stokes=2.4e-07)"
on-fsi-3,5760,7.198779e-04,6.595530e-04,5.686272e-04,2.463317e-04,5.759023e-01,1.970654e-01,3.040000e+03,2.368020e-07,-7.075129e-06,2.032033e-05,-5.656288e-09,7.378249e-05,+2.282789e-04,1.739877e-04,4.664930e-04,2.6812,3.287289e-04,2.9785,"EQUILIBRIO ESTATICO (|U| e' ruido numerico, Re_max=0.58<1, |U|/U_Stokes=2.4e-07)"
