t,p_avg_Pa,p_std_Pa,p_min_Pa,p_max_Pa,span_rel_pct,Umag_max_m_s,Umag_avg_m_s,Re_max
0.1000,2077.251000,0.000000e+00,2077.251000,2077.251000,0.000000e+00,5.493205e-14,1.979199e-14,4.394564e-11
0.2000,4343.107000,1.818989e-12,4343.107000,4343.107000,0.000000e+00,1.838803e-13,5.935342e-14,1.471043e-10
0.3000,4307.813000,9.094947e-13,4307.813000,4307.813000,0.000000e+00,3.073913e-13,4.227120e-14,2.459130e-10
0.4000,4136.177000,9.094947e-13,4136.177000,4136.177000,0.000000e+00,2.189930e-13,3.091053e-14,1.751944e-10
0.5000,4001.692000,4.547474e-13,4001.692000,4001.692000,0.000000e+00,1.662980e-13,3.592156e-14,1.330384e-10
0.6000,4047.692000,9.094947e-13,4047.692000,4047.692000,0.000000e+00,7.573796e-14,2.622285e-14,6.059037e-11
0.7000,4291.336000,9.094947e-13,4291.336000,4291.336000,0.000000e+00,1.279457e-13,5.431713e-14,1.023566e-10
0.8000,4611.233000,9.094947e-13,4611.233000,4611.233000,0.000000e+00,2.178398e-13,7.561682e-14,1.742718e-10
0.9000,4826.917000,9.094947e-13,4826.917000,4826.917000,0.000000e+00,9.681573e-14,3.088113e-14,7.745258e-11
1.0000,4817.596000,9.094947e-13,4817.596000,4817.596000,0.000000e+00,9.044527e-14,3.077593e-14,7.235621e-11
1.1000,4601.616000,9.094947e-13,4601.616000,4601.616000,0.000000e+00,2.141990e-13,4.435160e-14,1.713592e-10
1.2000,4324.061000,9.094947e-13,4324.061000,4324.061000,0.000000e+00,1.538187e-13,6.163684e-14,1.230550e-10
1.3000,4160.694000,9.094947e-13,4160.694000,4160.694000,0.000000e+00,9.505503e-14,2.957849e-14,7.604403e-11
1.4000,4201.823000,9.094947e-13,4201.823000,4201.823000,0.000000e+00,1.353393e-13,2.972039e-14,1.082714e-10
1.5000,4392.918000,9.094947e-13,4392.918000,4392.918000,0.000000e+00,1.619849e-13,6.410824e-14,1.295879e-10
1.6000,4571.286000,0.000000e+00,4571.286000,4571.286000,0.000000e+00,2.383607e-13,6.390015e-14,1.906885e-10
1.7000,4574.504000,0.000000e+00,4574.504000,4574.504000,0.000000e+00,1.221010e-13,3.985788e-14,9.768083e-11
1.8000,4348.857000,1.818989e-12,4348.857000,4348.857000,0.000000e+00,1.024272e-13,2.870768e-14,8.194174e-11
