case,n_cells,p_inlet_Pa,p_avg_Pa,p_std_Pa,p_min_Pa,p_max_Pa,span_abs_Pa,span_rel_pct,dev_inlet_pct,focus_n,focus_p_avg_Pa,focus_p_max_Pa,focus_amp_Pa,Umag_max_m_s,Umag_avg_m_s
on-fsi-2,5760,1333.0000,1332.968304,1.391713e-02,1332.951600,1332.998400,4.680000e-02,3.510961e-03,-2.377821e-03,36,1332.961958,1332.963000,-5.303646e-03,2.561124e-04,1.108398e-04
on-fsi-3,5760,3800.0000,3799.908865,3.995621e-02,3799.864300,3799.995200,1.309000e-01,3.444819e-03,-2.398287e-03,36,3799.878103,3799.879100,-2.976509e-02,7.198779e-04,2.463317e-04
