z_mm,r_undeformed_mm,r_deformed_mm,delta_um
0.000,2.4508,2.4510,0.150
0.002,2.4508,2.4512,0.363
0.004,2.4508,2.4509,0.116
0.006,2.4508,2.4509,0.075
0.008,2.4508,2.4509,0.083
0.010,2.4508,2.4509,0.104
0.012,2.4508,2.4510,0.133
0.014,2.4508,2.4510,0.168
0.016,2.4508,2.4510,0.209
0.018,2.4508,2.4511,0.271
0.020,2.4508,2.4510,0.191
0.022,2.4508,2.4496,-1.201
0.024,2.4508,2.4505,-0.339
0.026,2.4508,2.4510,0.153
0.028,2.4508,2.4509,0.083
0.030,2.4508,2.4509,0.033
