  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
    13      27   3.98043122e-02   5.15438973e-03
    13      28   6.13772573e-03   5.15001843e-03
    13      29   3.98043123e-02   5.15438973e-03
    13      30   6.13772571e-03   5.15001844e-03
    13      31   3.98043123e-02   5.15438973e-03
    13      32   6.13772572e-03   5.15001844e-03
    13      33   3.98043123e-02   5.15438973e-03
    13      34   6.13772575e-03   5.15001844e-03
    13      35   3.98043123e-02   5.15438973e-03
    13      36   6.13772575e-03   5.15001844e-03
    13      37   3.98043123e-02   5.15438973e-03
    13      38   6.13772573e-03   5.15001844e-03
    13      39   3.98043123e-02   5.15438973e-03
    13      40   6.13772573e-03   5.15001844e-03
    13      41   3.98043123e-02   5.15438973e-03
    13      42   6.13772573e-03   5.15001844e-03
    13      43   3.98043123e-02   5.15438973e-03
    13      44   6.13772575e-03   5.15001844e-03
    13      45   3.98043123e-02   5.15438973e-03
    13      46   6.13772574e-03   5.15001844e-03
    13      47   3.98043123e-02   5.15438973e-03
    13      48   6.13772573e-03   5.15001844e-03
    13      49   3.98043123e-02   5.15438973e-03
    13      50   6.13772574e-03   5.15001844e-03
    14       1   4.40592607e-01   1.37570351e+00
    14       2   2.42731691e+00   7.52421063e-01
    14       3   2.44813962e+00   9.31084646e-02
    14       4   2.45452387e+00   6.82680102e-03
    14       5   2.45441721e+00   1.29531099e-04
    14       6   2.45430446e+00   1.43889807e-04
    14       7   5.87442719e+00   8.79396816e-01
    14       8   1.76302407e-01   6.27474457e-02
    14       9   9.45035153e-02   1.06453217e-02
    14      10   8.99873180e-02   7.89295869e-03
    14      11   5.36153755e-03   3.35837689e-03
    14      12   8.03104826e-03   9.48888122e-05
    14      13   1.58453424e-03   2.37169600e-04
    14      14   4.77526852e-04   3.99459877e-05
    14      15   8.34535242e-05   1.97291956e-05
    14      16   4.36260977e-06   2.77047547e-06
    15       1   2.90570610e-01   5.71914414e+00
    15       2   7.78749550e-02   4.63396430e-01
    15       3   7.31347004e-02   7.24624634e-01
    15       4   7.48871628e-02   4.49563285e-01
    15       5   6.82358975e-02   7.20157012e-01
    15       6   6.57481609e-02   4.48578091e-01
    15       7   6.55566408e-02   7.19702137e-01
    15       8   4.59060133e-02   4.47647050e-01
    15       9   6.15605704e-02   7.19204678e-01
    15      10   6.40677014e-02   4.48322548e-01
    15      11   6.14502123e-02   7.19546782e-01
    15      12   4.63736056e-02   4.47564424e-01
    15      13   5.22289471e-02   7.20615043e-01
    15      14   7.27683085e-02   4.48416675e-01
    15      15   4.68873900e-02   7.21519686e-01
    15      16   4.64919186e-02   4.47641684e-01
