t_s,face_idx,x_m,y_m,z_m,P_Pa
0.76,214,0.00219419,0.0011728195,0.0265,22757.62814712684
0.76,215,0.0019232249999999998,0.00157835,0.0265,27348.848639385167
0.76,218,0.00238083,-0.0007222175,0.0275,6019.75827317011
0.76,219,0.00247598,-0.00024386300000000006,0.0275,12312.553063991278
0.76,220,0.00247598,0.00024386299999999995,0.0275,6292.819242995463
0.76,226,0.00238083,-0.0007222175,0.0285,6019.762612944467
0.76,227,0.00247598,-0.00024386300000000006,0.0285,6019.7604002947655
0.76,440,0.00157835,0.001923225,0.0255,13147.781496891404
0.76,448,0.00157835,0.001923225,0.0265,13147.780702631908
0.78,204,0.00247598,0.00024386299999999995,0.0255,2288.792915664499
0.78,205,0.00238083,0.0007222175,0.0255,14329.516910855718
0.78,206,0.00219419,0.0011728195,0.0255,15242.88793888153
0.78,207,0.0019232249999999998,0.00157835,0.0255,20524.42565676321
0.78,211,0.00247598,-0.00024386300000000006,0.0265,2743.383547324362
0.78,212,0.00247598,0.00024386299999999995,0.0265,5032.179092703676
0.78,213,0.00238083,0.0007222175,0.0265,14329.488401603874
0.78,214,0.00219419,0.0011728195,0.0265,15242.89660809913
0.78,215,0.0019232249999999998,0.00157835,0.0265,20524.427867543593
0.78,218,0.00238083,-0.0007222175,0.0275,6127.091470896204
0.78,219,0.00247598,-0.00024386300000000006,0.0275,8870.464265810724
0.78,220,0.00247598,0.00024386299999999995,0.0275,2743.382418791263
0.78,226,0.00238083,-0.0007222175,0.0285,6127.089011538514
0.78,227,0.00247598,-0.00024386300000000006,0.0285,6127.0831317697175
0.78,440,0.00157835,0.001923225,0.0255,17322.23598681475
0.78,448,0.00157835,0.001923225,0.0265,17322.236612230536
0.8,204,0.00247598,0.00024386299999999995,0.0255,11994.127304526995
0.8,205,0.00238083,0.0007222175,0.0255,12072.489099456663
0.8,206,0.00219419,0.0011728195,0.0255,2075.866390182422
0.8,207,0.0019232249999999998,0.00157835,0.0255,23706.94052424311
0.8,212,0.00247598,0.00024386299999999995,0.0265,11994.134667348872
0.8,213,0.00238083,0.0007222175,0.0265,12072.538749037007
0.8,214,0.00219419,0.0011728195,0.0265,2075.86606993828
0.8,215,0.0019232249999999998,0.00157835,0.0265,23706.9222630522
0.8,218,0.00238083,-0.0007222175,0.0275,6357.500447569077
0.8,219,0.00247598,-0.00024386300000000006,0.0275,6357.5077532489095
0.8,226,0.00238083,-0.0007222175,0.0285,6357.507905872316
0.8,227,0.00247598,-0.00024386300000000006,0.0285,6357.507943951938
0.8,440,0.00157835,0.001923225,0.0255,21709.47233288962
0.8,448,0.00157835,0.001923225,0.0265,21709.48141939139
0.82,204,0.00247598,0.00024386299999999995,0.0255,10535.471820326795
0.82,205,0.00238083,0.0007222175,0.0255,10535.460853693112
0.82,206,0.00219419,0.0011728195,0.0255,1.8752816527444618
0.82,207,0.0019232249999999998,0.00157835,0.0255,20038.019193533077
0.82,210,0.00238083,-0.0007222175,0.0265,2182.4085800979155
0.82,211,0.00247598,-0.00024386300000000006,0.0265,2182.414023498062
0.82,212,0.00247598,0.00024386299999999995,0.0265,10535.472136154554
0.82,213,0.00238083,0.0007222175,0.0265,10535.462290621139
0.82,214,0.00219419,0.0011728195,0.0265,1.8752816909909826
0.82,215,0.0019232249999999998,0.00157835,0.0265,20037.987399040354
0.82,218,0.00238083,-0.0007222175,0.0275,6885.333008130834
0.82,219,0.00247598,-0.00024386300000000006,0.0275,6885.334339575094
0.82,226,0.00238083,-0.0007222175,0.0285,4702.920528195751
0.82,227,0.00247598,-0.00024386300000000006,0.0285,4702.913721846064
0.82,440,0.00157835,0.001923225,0.0255,20036.109880266176
0.82,448,0.00157835,0.001923225,0.0265,20036.120701275984
0.82,449,0.0011728195,0.00219419,0.0265,3104.9228707104785
0.82,450,0.0007222175,0.00238083,0.0265,3104.922079120988
0.82,457,0.0011728195,0.00219419,0.0275,3104.920605404267
0.82,458,0.0007222175,0.00238083,0.0275,3104.9232116593475
0.84,203,0.00247598,-0.00024386300000000006,0.0255,3228.9043658321625
0.84,204,0.00247598,0.00024386299999999995,0.0255,8992.10153543653
0.84,205,0.00238083,0.0007222175,0.0255,5763.196151692566
0.84,206,0.00219419,0.0011728195,0.0255,223.89701587178422
0.84,207,0.0019232249999999998,0.00157835,0.0255,19016.599666827926
0.84,210,0.00238083,-0.0007222175,0.0265,3581.592807967567
0.84,211,0.00247598,-0.00024386300000000006,0.0265,6810.486412951721
0.84,212,0.00247598,0.00024386299999999995,0.0265,8992.099925544866
0.84,213,0.00238083,0.0007222175,0.0265,5763.19790322144
0.84,214,0.00219419,0.0011728195,0.0265,223.8969025978028
0.84,215,0.0019232249999999998,0.00157835,0.0265,19016.594826690187
0.84,218,0.00238083,-0.0007222175,0.0275,6416.790543744122
0.84,219,0.00247598,-0.00024386300000000006,0.0275,6416.790660459557
0.84,226,0.00238083,-0.0007222175,0.0285,2835.204154072359
0.84,227,0.00247598,-0.00024386300000000006,0.0285,2835.204316167002
0.84,440,0.00157835,0.001923225,0.0255,18792.749673488444
0.84,448,0.00157835,0.001923225,0.0265,18792.739708195822
0.84,449,0.0011728195,0.00219419,0.0265,3244.3410788596198
0.84,450,0.0007222175,0.00238083,0.0265,3244.33630308712
0.84,457,0.0011728195,0.00219419,0.0275,3244.3432713207153
0.84,458,0.0007222175,0.00238083,0.0275,3244.3368681406987
0.86,203,0.00247598,-0.00024386300000000006,0.0255,6352.095881810664
0.86,204,0.00247598,0.00024386299999999995,0.0255,7664.767368728487
0.86,205,0.00238083,0.0007222175,0.0255,1312.6741676383367
0.86,207,0.0019232249999999998,0.00157835,0.0255,19047.56650389755
0.86,210,0.00238083,-0.0007222175,0.0265,4383.076307266507
0.86,211,0.00247598,-0.00024386300000000006,0.0265,10735.121645132951
0.86,212,0.00247598,0.00024386299999999995,0.0265,7664.773099343516
0.86,213,0.00238083,0.0007222175,0.0265,1312.670964667079
0.86,215,0.0019232249999999998,0.00157835,0.0265,19047.519463552202
0.86,218,0.00238083,-0.0007222175,0.0275,5551.471679225338
0.86,219,0.00247598,-0.00024386300000000006,0.0275,5551.470122454862
0.86,226,0.00238083,-0.0007222175,0.0285,1168.3878163217726
0.86,227,0.00247598,-0.00024386300000000006,0.0285,1168.3895283979655
0.86,440,0.00157835,0.001923225,0.0255,19047.542951522646
0.86,448,0.00157835,0.001923225,0.0265,19047.52040277422
0.86,449,0.0011728195,0.00219419,0.0265,3837.4619710037523
0.86,450,0.0007222175,0.00238083,0.0265,3837.468336038748
0.86,457,0.0011728195,0.00219419,0.0275,3837.467114806979
0.86,458,0.0007222175,0.00238083,0.0275,3837.4661390818815
