t_s,arc_m,chord_m,tortuosity
0.0,0.2794659049381042,0.02901212031203511,8.632729422474277
0.02,0.2794659049381042,0.02901212031203511,8.632729422474277
0.04,0.2794659049381042,0.02901212031203511,8.632729422474277
0.06,0.2794659049381042,0.02901212031203511,8.632729422474277
0.08,0.2794659049381042,0.02901212031203511,8.632729422474277
0.1,0.2794659049381042,0.02901212031203511,8.632729422474277
0.12,0.2794659049381042,0.02901212031203511,8.632729422474277
0.14,0.2794659049381042,0.02901212031203511,8.632729422474277
0.16,0.2794659049381042,0.02901212031203511,8.632729422474277
0.18,0.2794659049381042,0.02901212031203511,8.632729422474277
0.2,0.2794659049381042,0.02901212031203511,8.632729422474277
0.22,0.2794659049381042,0.02901212031203511,8.632729422474277
0.24,0.2794659049381042,0.02901212031203511,8.632729422474277
0.26,0.2794659049381042,0.02901212031203511,8.632729422474277
0.28,0.2794659049381042,0.02901212031203511,8.632729422474277
0.3,0.2794659049381042,0.02901212031203511,8.632729422474277
0.32,0.2794659049381042,0.02901212031203511,8.632729422474277
0.34,0.2794659049381042,0.02901212031203511,8.632729422474277
0.36,0.2794659049381042,0.02901212031203511,8.632729422474277
0.38,0.2794659049381042,0.02901212031203511,8.632729422474277
0.4,0.2794659049381042,0.02901212031203511,8.632729422474277
0.42,0.2794659049381042,0.02901212031203511,8.632729422474277
0.44,0.2794659049381042,0.02901212031203511,8.632729422474277
0.46,0.2794659049381042,0.02901212031203511,8.632729422474277
0.48,0.2794659049381042,0.02901212031203511,8.632729422474277
0.5,0.2794659049381042,0.02901212031203511,8.632729422474277
0.52,0.2794659049381042,0.02901212031203511,8.632729422474277
0.54,0.2794659049381042,0.02901212031203511,8.632729422474277
0.56,0.2794659049381042,0.02901212031203511,8.632729422474277
0.58,0.2794659049381042,0.02901212031203511,8.632729422474277
0.6,0.2794659049381042,0.02901212031203511,8.632729422474277
0.62,0.2794659049381042,0.02901212031203511,8.632729422474277
0.64,0.2794659049381042,0.02901212031203511,8.632729422474277
0.66,0.2794659049381042,0.02901212031203511,8.632729422474277
0.68,0.2794659049381042,0.02901212031203511,8.632729422474277
0.7,0.2794659049381042,0.02901212031203511,8.632729422474277
0.72,0.2794659049381042,0.02901212031203511,8.632729422474277
0.74,0.2794659049381042,0.02901212031203511,8.632729422474277
0.76,0.2794659049381042,0.02901212031203511,8.632729422474277
0.78,0.2794659049381042,0.02901212031203511,8.632729422474277
0.8,0.2794659049381042,0.02901212031203511,8.632729422474277
0.82,0.2794659049381042,0.02901212031203511,8.632729422474277
0.84,0.2794659049381042,0.02901212031203511,8.632729422474277
0.86,0.2794659049381042,0.02901212031203511,8.632729422474277
