  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90460961e-01   9.90000000e-01
     1       3   9.93729764e-01   7.05434141e-05
     1       4   4.35359828e-04   3.11562333e-03
     1       5   2.22765419e-03   1.39896856e-05
     1       6   8.58241780e-07   6.91917608e-06
     2       1   7.31124965e-06   5.00065626e-01
     2       2   4.97497749e-01   1.14614495e-07
     2       3   3.42047194e-05   1.58807974e-03
     2       4   1.52277943e-04   5.58051230e-06
     2       5   2.35092594e-06   8.48087865e-07
     3       1   3.37022147e-06   3.33370470e-01
     3       2   3.30717523e-01   3.34359005e-08
     3       3   2.26889185e-05   1.05436108e-03
     3       4   2.08692590e-05   3.34202443e-06
     4       1   3.68317002e-06   2.50027286e-01
     4       2   2.47280339e-01   5.56683172e-08
     4       3   2.33428147e-05   7.88109868e-04
     5       1   7.59823750e-04   2.00020962e-01
     5       2   1.97376072e-01   4.93378282e-06
     5       3   2.29231339e-05   6.31256569e-04
