  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90046362e-01   9.90000000e-01
     1       3   9.29574025e-01   9.20882099e-05
     1       4   3.30312494e-04   9.21571243e-04
     1       5   5.03217955e-04   3.73165248e-07
     1       6   8.17335106e-08   2.63776802e-07
     2       1   4.84155892e-07   5.00056188e-01
     2       2   4.97609151e-01   1.29477983e-09
     2       3   2.64686532e-05   5.23473799e-04
     3       1   5.74881259e-04   3.33365397e-01
     3       2   3.33238544e-01   3.90979382e-07
     3       3   8.67162499e-05   3.51369604e-04
     4       1   3.87696854e-04   2.50026452e-01
     4       2   2.50579298e-01   3.22410848e-07
     4       3   6.52831441e-05   2.64998532e-04
     5       1   2.93175675e-04   2.00017126e-01
     5       2   2.00870687e-01   2.70673354e-07
     5       3   5.25714029e-05   2.13400153e-04
     6       1   2.36645819e-04   1.66686117e-01
     6       2   1.67701399e-01   2.36603044e-07
     6       3   4.43405899e-05   1.79003531e-04
     7       1   1.98911068e-04   1.42869145e-01
     7       2   1.43984580e-01   1.81460321e-07
     7       3   3.84888740e-05   1.54425365e-04
