# Time dispX dispY dispZ forceX forceY forceZ
1 0 0 -0.0005 3.2938093e-05 -5.2411523e-06 -0.16143091
2 0 0 -0.001 1.3997736e-05 -9.7633906e-06 -0.31481241
3 0 0 -0.002 5.2520489e-05 -1.3738523e-05 -0.62970429
4 0 0 -0.003 1.5976677e-05 -2.0998117e-05 -0.94353357
5 0 0 -0.004 1.3403317e-05 -2.6316279e-05 -1.2575828
