# Time dispX dispY dispZ forceX forceY forceZ
1 0 0 0 1.1327367e-05 -7.3852586e-06 0.12705626
2 0 0 0 1.1364221e-05 -8.6385003e-06 0.25487151
3 0 0 0 2.3067604e-05 -1.6288581e-05 0.50977171
4 0 0 0 2.0691599e-05 -2.0851385e-05 0.7647106
5 0 0 0 1.821309e-05 -2.2694463e-05 1.0196626
