
 displacements (vx,vy,vz) for set NPIA_Z30 and time  0.1000000E+00

     17618 -7.581740E-08  6.987612E-08  2.356664E-07
     17619 -8.638064E-08  5.826393E-08  2.357602E-07
     17620 -9.493741E-08  4.513065E-08  2.357760E-07
     17621 -1.012498E-07  3.079287E-08  2.357763E-07
     17622 -1.051232E-07  1.561309E-08  2.357715E-07
     17623 -1.064292E-07 -7.796322E-21  2.357691E-07
     17624 -1.051232E-07 -1.561309E-08  2.357715E-07
     17625 -1.012498E-07 -3.079287E-08  2.357763E-07
     17626 -9.493741E-08 -4.513065E-08  2.357760E-07
     17627 -8.638064E-08 -5.826393E-08  2.357602E-07
     17628 -7.581740E-08 -6.987612E-08  2.356664E-07
     18009 -6.355051E-08 -7.965855E-08  2.354022E-07
     18010 -4.996673E-08 -8.743416E-08  2.350693E-07
     18011 -3.539712E-08 -9.311203E-08  2.347405E-07
     18012 -2.015084E-08 -9.662535E-08  2.344370E-07
     18013 -4.532537E-09 -9.792556E-08  2.341809E-07
     18014  1.115209E-08 -9.698196E-08  2.339913E-07
     18015  2.658833E-08 -9.378263E-08  2.338835E-07
     18016  4.144632E-08 -8.834087E-08  2.338638E-07
     18017  5.538079E-08 -8.070119E-08  2.339290E-07
     18018  6.802046E-08 -7.094680E-08  2.340146E-07
     18399  7.893998E-08 -5.925857E-08  2.340072E-07
     18400  8.780327E-08 -4.595826E-08  2.339837E-07
     18401  9.435019E-08 -3.138375E-08  2.339809E-07
     18402  9.837029E-08 -1.592025E-08  2.339854E-07
     18403  9.972610E-08  6.459197E-21  2.339881E-07
     18404  9.837029E-08  1.592025E-08  2.339854E-07
     18405  9.435019E-08  3.138375E-08  2.339809E-07
     18406  8.780327E-08  4.595826E-08  2.339837E-07
     18407  7.893998E-08  5.925857E-08  2.340072E-07
     18408  6.802046E-08  7.094680E-08  2.340146E-07
     18751  5.538079E-08  8.070119E-08  2.339290E-07
     18752  4.144632E-08  8.834087E-08  2.338638E-07
     18753  2.658833E-08  9.378263E-08  2.338835E-07
     18754  1.115209E-08  9.698196E-08  2.339913E-07
     18755 -4.532537E-09  9.792556E-08  2.341809E-07
     18756 -2.015084E-08  9.662535E-08  2.344370E-07
     18757 -3.539712E-08  9.311203E-08  2.347405E-07
     18758 -4.996673E-08  8.743416E-08  2.350693E-07
     18759 -6.355051E-08  7.965855E-08  2.354022E-07

 displacements (vx,vy,vz) for set NDURA_Z30 and time  0.1000000E+00

     20014  5.985374E-09 -3.394310E-08 -1.338858E-07
     20017  1.007611E-08 -2.739655E-08 -1.386447E-07
     20020  1.293376E-08 -2.049168E-08 -1.429518E-07
     20023  1.472549E-08 -1.355071E-08 -1.463859E-07
     20026  1.567549E-08 -6.723254E-09 -1.485993E-07
     20029  1.596857E-08  2.425359E-21 -1.493637E-07
     20032  1.567549E-08  6.723254E-09 -1.485993E-07
     20035  1.472549E-08  1.355071E-08 -1.463859E-07
     20038  1.293376E-08  2.049168E-08 -1.429518E-07
     20041  1.007611E-08  2.739655E-08 -1.386447E-07
     20044  5.985374E-09  3.394310E-08 -1.338858E-07
     21187  6.416304E-10  3.968040E-08 -1.291126E-07
     21190 -5.774467E-09  4.411399E-08 -1.247252E-07
     21193 -1.287599E-08  4.682021E-08 -1.210393E-07
     21196 -2.012750E-08  4.754815E-08 -1.182583E-07
     21199 -2.694545E-08  4.628213E-08 -1.164622E-07
     21202 -3.281347E-08  4.324445E-08 -1.156150E-07
     21205 -3.737807E-08  3.884211E-08 -1.155884E-07
     21208 -4.050069E-08  3.357697E-08 -1.161957E-07
     21211 -4.225782E-08  2.794717E-08 -1.172258E-07
     21214 -4.289553E-08  2.236352E-08 -1.184722E-07
     22357 -4.275829E-08  1.710002E-08 -1.197492E-07
     22360 -4.220830E-08  1.227958E-08 -1.209013E-07
     22363 -4.156794E-08  7.897972E-09 -1.218075E-07
     22366 -4.108261E-08  3.856961E-09 -1.223837E-07
     22369 -4.090385E-08  3.840037E-21 -1.225811E-07
     22372 -4.108261E-08 -3.856961E-09 -1.223837E-07
     22375 -4.156794E-08 -7.897972E-09 -1.218075E-07
