0.02 41961.6 0.13894
0.04 41528.6 0.137506
0.06 41773.1 0.138316
0.08 42785.1 0.141666
0.1 43804.4 0.145041
0.12 47685.7 0.157893
0.14 52168.6 0.172736
0.16 53753 0.177982
0.18 53113.5 0.175865
0.2 51202.8 0.169538
0.22 48843.9 0.161728
0.24 46899.3 0.155289
0.26 46117.8 0.152701
0.28 46104.1 0.152656
0.3 46605.9 0.154317
0.32 47209.7 0.156317
0.34 47582.7 0.157552
0.36 47682 0.15788
0.38 47241.1 0.15642
0.4 46339.9 0.153437
0.42 45274.4 0.149908
0.44 44295.1 0.146666
0.46 43616.2 0.144418
0.48 43360.5 0.143572
0.5 43271.9 0.143278
0.52 43159.8 0.142907
0.54 42961.4 0.14225
0.56 42649.1 0.141216
0.58 42257.6 0.13992
0.6 41809.4 0.138436
0.62 41303.3 0.13676
0.64 40757.5 0.134953
0.66 40187.1 0.133064
0.68 39605.7 0.131139
0.7 39035.4 0.129251
0.72 38477.7 0.127404
0.74 37954.4 0.125671
0.76 37478.8 0.124097
0.78 37060.5 0.122711
0.8 36712.7 0.12156
0.82 36448.8 0.120686
0.84 36259 0.120058
0.86 36127.8 0.119623
