  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90106071e-01   9.90000000e-01
     1       3   9.67098418e-01   7.40496048e-05
     1       4   4.21711674e-04   1.27838366e-03
     1       5   9.73516676e-04   1.04104506e-06
     1       6   3.32838585e-07   1.24260744e-06
     2       1   1.44972805e-06   5.00067430e-01
     2       2   4.97088672e-01   6.70294001e-09
     2       3   2.91890700e-05   6.81816218e-04
     3       1   6.66695102e-04   3.33372399e-01
     3       2   3.31823117e-01   5.79555173e-07
     3       3   9.83252629e-05   4.54803303e-04
     4       1   4.44528159e-04   2.50029538e-01
     4       2   2.48669216e-01   7.75265330e-07
     4       3   7.31529319e-05   3.40827491e-04
