// Tabela de pressao cinematica p/rho [m^2/s^2] vs tempo [s].
// Onda arterial OMVS 6-piece (Sala 2019 / Guidoboni et al.)
// SP = 120.0 mmHg, DP = 80.0 mmHg, HR = 69.0 bpm
// T = 0.8696 s, rho = 1050.0 kg/m^3
// outlet: drive_offset = -5.0 Pa
// Gerada por brunaStuff/gen_ao_mestrado_omvs_pressure.py
(
    (0.869565  10.153953)
    (0.873913  10.153148)
    (0.878261  10.162175)
    (0.882609  10.195723)
    (0.886957  10.253235)
    (0.891304  10.333294)
    (0.895652  10.433929)
    (0.900000  10.552662)
    (0.904348  10.686570)
    (0.908696  10.832354)
    (0.913043  10.986426)
    (0.917391  11.144992)
    (0.921739  11.304147)
    (0.926087  11.459973)
    (0.930435  11.608631)
    (0.934783  11.746463)
    (0.939130  11.870074)
    (0.943478  11.976420)
    (0.947826  12.062883)
    (0.952174  12.127334)
    (0.956522  12.168185)
    (0.960870  12.184432)
    (0.965217  12.205885)
    (0.969565  12.284137)
    (0.973913  12.417122)
    (0.978261  12.599730)
    (0.982609  12.824944)
    (0.986957  13.084108)
    (0.991304  13.367263)
    (0.995652  13.663528)
    (1.000000  13.961518)
    (1.004348  14.249780)
    (1.008696  14.517237)
    (1.013043  14.753611)
    (1.017391  14.949818)
    (1.021739  15.098317)
    (1.026087  15.193403)
    (1.030435  15.231422)
    (1.034783  15.225016)
    (1.039130  15.198738)
    (1.043478  15.153477)
    (1.047826  15.090009)
    (1.052174  15.009418)
    (1.056522  14.913084)
    (1.060870  14.802655)
    (1.065217  14.680021)
    (1.069565  14.547280)
    (1.073913  14.406703)
    (1.078261  14.260696)
    (1.082609  14.111756)
    (1.086957  13.962432)
    (1.091304  13.815279)
    (1.095652  13.672816)
    (1.100000  13.537478)
    (1.104348  13.411583)
    (1.108696  13.297284)
    (1.113043  13.196537)
    (1.117391  13.111066)
    (1.121739  13.042333)
    (1.126087  12.991514)
    (1.130435  12.959479)
    (1.134783  12.946776)
    (1.139130  12.948816)
    (1.143478  12.957203)
    (1.147826  12.971581)
    (1.152174  12.991596)
    (1.156522  13.016754)
    (1.160870  13.046438)
    (1.165217  13.079915)
    (1.169565  13.116361)
    (1.173913  13.154879)
    (1.178261  13.194520)
    (1.182609  13.234309)
    (1.186957  13.273265)
    (1.191304  13.310430)
    (1.195652  13.344888)
    (1.200000  13.375791)
    (1.204348  13.402377)
    (1.208696  13.423993)
    (1.213043  13.440106)
    (1.217391  13.450318)
    (1.221739  13.454380)
    (1.226087  13.451937)
    (1.230435  13.442574)
    (1.234783  13.426385)
    (1.239130  13.403548)
    (1.243478  13.374312)
    (1.247826  13.339000)
    (1.252174  13.297996)
    (1.256522  13.251750)
    (1.260870  13.200770)
    (1.265217  13.145613)
    (1.269565  13.086884)
    (1.273913  13.025227)
    (1.278261  12.961316)
    (1.282609  12.895853)
    (1.286957  12.829554)
    (1.291304  12.763146)
    (1.295652  12.697356)
    (1.300000  12.632905)
    (1.304348  12.570500)
    (1.308696  12.510823)
    (1.313043  12.454529)
    (1.317391  12.402235)
    (1.321739  12.354514)
    (1.326087  12.311887)
    (1.330435  12.274824)
    (1.334783  12.243728)
    (1.339130  12.218942)
    (1.343478  12.200737)
    (1.347826  12.189312)
    (1.352174  12.184792)
    (1.356522  12.184266)
    (1.360870  12.182596)
    (1.365217  12.179691)
    (1.369565  12.175554)
    (1.373913  12.170191)
    (1.378261  12.163608)
    (1.382609  12.155813)
    (1.386957  12.146816)
    (1.391304  12.136628)
    (1.395652  12.125260)
    (1.400000  12.112727)
    (1.404348  12.099044)
    (1.408696  12.084229)
    (1.413043  12.068298)
    (1.417391  12.051271)
    (1.421739  12.033169)
    (1.426087  12.014014)
    (1.430435  11.993830)
    (1.434783  11.972641)
    (1.439130  11.950472)
    (1.443478  11.927351)
    (1.447826  11.903306)
    (1.452174  11.878367)
    (1.456522  11.852563)
    (1.460870  11.825926)
    (1.465217  11.798489)
    (1.469565  11.770285)
    (1.473913  11.741348)
    (1.478261  11.711713)
    (1.482609  11.681418)
    (1.486957  11.650498)
    (1.491304  11.618991)
    (1.495652  11.586936)
    (1.500000  11.554372)
    (1.504348  11.521338)
    (1.508696  11.487874)
    (1.513043  11.454022)
    (1.517391  11.419823)
    (1.521739  11.385318)
    (1.526087  11.350549)
    (1.530435  11.315559)
    (1.534783  11.280391)
    (1.539130  11.245087)
    (1.543478  11.209689)
    (1.547826  11.174243)
    (1.552174  11.138789)
    (1.556522  11.103373)
    (1.560870  11.068036)
    (1.565217  11.032822)
    (1.569565  10.997774)
    (1.573913  10.962935)
    (1.578261  10.928346)
    (1.582609  10.894051)
    (1.586957  10.860090)
    (1.591304  10.826506)
    (1.595652  10.793339)
    (1.600000  10.760630)
    (1.604348  10.728418)
    (1.608696  10.696742)
    (1.613043  10.665642)
    (1.617391  10.635155)
    (1.621739  10.605319)
    (1.626087  10.576169)
    (1.630435  10.547741)
    (1.634783  10.520070)
    (1.639130  10.493190)
    (1.643478  10.467133)
    (1.647826  10.441931)
    (1.652174  10.417614)
    (1.656522  10.394213)
    (1.660870  10.371756)
    (1.665217  10.350270)
    (1.669565  10.329782)
    (1.673913  10.310316)
    (1.678261  10.291896)
    (1.682609  10.274544)
    (1.686957  10.258282)
    (1.691304  10.243130)
    (1.695652  10.229105)
    (1.700000  10.216226)
    (1.704348  10.204507)
    (1.708696  10.193964)
    (1.713043  10.184608)
    (1.717391  10.176451)
    (1.721739  10.169504)
    (1.726087  10.163774)
    (1.730435  10.159269)
    (1.734783  10.155994)
    (1.739130  10.153953)
    (1.743478  10.153148)
    (1.747826  10.162175)
    (1.752174  10.195723)
    (1.756522  10.253235)
    (1.760870  10.333294)
    (1.765217  10.433929)
    (1.769565  10.552662)
    (1.773913  10.686570)
    (1.778261  10.832354)
    (1.782609  10.986426)
    (1.786957  11.144992)
    (1.791304  11.304147)
    (1.795652  11.459973)
    (1.800000  11.608631)
    (1.804348  11.746463)
    (1.808696  11.870074)
    (1.813043  11.976420)
    (1.817391  12.062883)
    (1.821739  12.127334)
    (1.826087  12.168185)
    (1.830435  12.184432)
    (1.834783  12.205885)
    (1.839130  12.284137)
    (1.843478  12.417122)
    (1.847826  12.599730)
    (1.852174  12.824944)
    (1.856522  13.084108)
    (1.860870  13.367263)
    (1.865217  13.663528)
    (1.869565  13.961518)
    (1.873913  14.249780)
    (1.878261  14.517237)
    (1.882609  14.753611)
    (1.886957  14.949818)
    (1.891304  15.098317)
    (1.895652  15.193403)
    (1.900000  15.231422)
    (1.904348  15.225016)
    (1.908696  15.198738)
    (1.913043  15.153477)
    (1.917391  15.090009)
    (1.921739  15.009418)
    (1.926087  14.913084)
    (1.930435  14.802655)
    (1.934783  14.680021)
    (1.939130  14.547280)
    (1.943478  14.406703)
    (1.947826  14.260696)
    (1.952174  14.111756)
    (1.956522  13.962432)
    (1.960870  13.815279)
    (1.965217  13.672816)
    (1.969565  13.537478)
    (1.973913  13.411583)
    (1.978261  13.297284)
    (1.982609  13.196537)
    (1.986957  13.111066)
    (1.991304  13.042333)
    (1.995652  12.991514)
    (2.000000  12.959479)
    (2.004348  12.946776)
    (2.008696  12.948816)
    (2.013043  12.957203)
    (2.017391  12.971581)
    (2.021739  12.991596)
    (2.026087  13.016754)
    (2.030435  13.046438)
    (2.034783  13.079915)
    (2.039130  13.116361)
    (2.043478  13.154879)
    (2.047826  13.194520)
    (2.052174  13.234309)
    (2.056522  13.273265)
    (2.060870  13.310430)
    (2.065217  13.344888)
    (2.069565  13.375791)
    (2.073913  13.402377)
    (2.078261  13.423993)
    (2.082609  13.440106)
    (2.086957  13.450318)
    (2.091304  13.454380)
    (2.095652  13.451937)
    (2.100000  13.442574)
    (2.104348  13.426385)
    (2.108696  13.403548)
    (2.113043  13.374312)
    (2.117391  13.339000)
    (2.121739  13.297996)
    (2.126087  13.251750)
    (2.130435  13.200770)
    (2.134783  13.145613)
    (2.139130  13.086884)
    (2.143478  13.025227)
    (2.147826  12.961316)
    (2.152174  12.895853)
    (2.156522  12.829554)
    (2.160870  12.763146)
    (2.165217  12.697356)
    (2.169565  12.632905)
    (2.173913  12.570500)
    (2.178261  12.510823)
    (2.182609  12.454529)
    (2.186957  12.402235)
    (2.191304  12.354514)
    (2.195652  12.311887)
    (2.200000  12.274824)
    (2.204348  12.243728)
    (2.208696  12.218942)
    (2.213043  12.200737)
    (2.217391  12.189312)
    (2.221739  12.184792)
    (2.226087  12.184266)
    (2.230435  12.182596)
    (2.234783  12.179691)
    (2.239130  12.175554)
    (2.243478  12.170191)
    (2.247826  12.163608)
    (2.252174  12.155813)
    (2.256522  12.146816)
    (2.260870  12.136628)
    (2.265217  12.125260)
    (2.269565  12.112727)
    (2.273913  12.099044)
    (2.278261  12.084229)
    (2.282609  12.068298)
    (2.286957  12.051271)
    (2.291304  12.033169)
    (2.295652  12.014014)
    (2.300000  11.993830)
    (2.304348  11.972641)
    (2.308696  11.950472)
    (2.313043  11.927351)
    (2.317391  11.903306)
    (2.321739  11.878367)
    (2.326087  11.852563)
    (2.330435  11.825926)
    (2.334783  11.798489)
    (2.339130  11.770285)
    (2.343478  11.741348)
    (2.347826  11.711713)
    (2.352174  11.681418)
    (2.356522  11.650498)
    (2.360870  11.618991)
    (2.365217  11.586936)
    (2.369565  11.554372)
    (2.373913  11.521338)
    (2.378261  11.487874)
    (2.382609  11.454022)
    (2.386957  11.419823)
    (2.391304  11.385318)
    (2.395652  11.350549)
    (2.400000  11.315559)
    (2.404348  11.280391)
    (2.408696  11.245087)
    (2.413043  11.209689)
    (2.417391  11.174243)
    (2.421739  11.138789)
    (2.426087  11.103373)
    (2.430435  11.068036)
    (2.434783  11.032822)
    (2.439130  10.997774)
    (2.443478  10.962935)
    (2.447826  10.928346)
    (2.452174  10.894051)
    (2.456522  10.860090)
    (2.460870  10.826506)
    (2.465217  10.793339)
    (2.469565  10.760630)
    (2.473913  10.728418)
    (2.478261  10.696742)
    (2.482609  10.665642)
    (2.486957  10.635155)
    (2.491304  10.605319)
    (2.495652  10.576169)
    (2.500000  10.547741)
    (2.504348  10.520070)
    (2.508696  10.493190)
    (2.513043  10.467133)
    (2.517391  10.441931)
    (2.521739  10.417614)
    (2.526087  10.394213)
    (2.530435  10.371756)
    (2.534783  10.350270)
    (2.539130  10.329782)
    (2.543478  10.310316)
    (2.547826  10.291896)
    (2.552174  10.274544)
    (2.556522  10.258282)
    (2.560870  10.243130)
    (2.565217  10.229105)
    (2.569565  10.216226)
    (2.573913  10.204507)
    (2.578261  10.193964)
    (2.582609  10.184608)
    (2.586957  10.176451)
    (2.591304  10.169504)
    (2.595652  10.163774)
    (2.600000  10.159269)
    (2.604348  10.155994)
    (2.608696  10.153953)
)
