0.02 3038.38 0.0100604
0.04 12410.2 0.0410917
0.06 25719.3 0.0851594
0.08 37806.5 0.125182
0.1 43153.4 0.142886
0.12 46902.1 0.155298
0.14 51530.8 0.170624
0.16 53544.4 0.177291
0.18 53294.7 0.176465
0.2 51537.6 0.170647
0.22 49226.4 0.162994
0.24 47157.6 0.156144
0.26 46190.6 0.152942
0.28 46101.1 0.152646
0.3 46530.9 0.154069
0.32 47139.1 0.156083
0.34 47561.6 0.157482
0.36 47700.9 0.157943
0.38 47354.3 0.156795
0.4 46508.7 0.153995
0.42 45458.4 0.150518
0.44 44450 0.147179
0.46 43714.5 0.144744
0.48 43400.6 0.143704
0.5 43298.5 0.143366
0.52 43194.9 0.143023
0.54 43017.1 0.142434
0.56 42710.7 0.14142
0.58 42336.8 0.140182
0.6 41890.7 0.138705
0.62 41392.9 0.137056
0.64 40851.7 0.135264
0.66 40287.1 0.133395
0.68 39708.1 0.131478
0.7 39130.1 0.129564
0.72 38571.6 0.127715
0.74 38042.6 0.125963
0.76 37555.5 0.124351
0.78 37132.8 0.122951
0.8 36770.8 0.121752
0.82 36491.1 0.120826
0.84 36291.8 0.120166
0.86 36152 0.119703
0.88 36138.8 0.119659
0.9 37512.6 0.124209
0.92 39913 0.132156
0.94 42155.4 0.139581
0.96 43085.5 0.142661
0.98 45078.5 0.14926
1 49550.6 0.164068
1.02 53234.9 0.176267
1.04 53782.8 0.178081
1.06 52509.3 0.173864
1.08 50351.6 0.16672
1.1 48032.7 0.159042
1.12 46466 0.153854
1.14 46071.3 0.152547
1.16 46246.6 0.153128
1.18 46822.3 0.155034
1.2 47371.1 0.156851
1.22 47636.6 0.15773
1.24 47603.7 0.157621
1.26 46931 0.155394
1.28 45945.2 0.15213
1.3 44885.1 0.14862
1.32 43998.4 0.145684
1.34 43481.4 0.143972
1.36 43314 0.143417
1.38 43228 0.143133
1.4 43089.9 0.142676
1.42 42840.8 0.141851
1.44 42504.3 0.140736
1.46 42090.3 0.139366
1.48 41617.4 0.1378
1.5 41097.5 0.136078
1.52 40540.3 0.134233
1.54 39966.5 0.132334
1.56 39384.4 0.130406
1.58 38814.8 0.12852
1.6 38270.4 0.126718
1.62 37764.8 0.125043
1.64 37307.5 0.123529
1.66 36914.3 0.122227
1.68 36602.2 0.121194
1.7 36364.9 0.120408
1.72 36195.7 0.119848
1.74 36098 0.119524
1.76 36665.9 0.121405
1.78 38687.1 0.128097
1.8 41171.6 0.136324
1.82 42820 0.141782
1.84 43680.6 0.144631
1.86 47255.9 0.15647
1.88 51759.7 0.171382
1.9 53739.6 0.177938
1.92 53278.9 0.176412
1.94 51439.7 0.170322
1.96 49088 0.162536
1.98 47063.6 0.155833
2 46140.3 0.152776
2.02 46073.8 0.152556
2.04 46522.9 0.154042
2.06 47123.2 0.15603
2.08 47531.4 0.157382
2.1 47662.6 0.157816
2.12 47292.7 0.156591
2.14 46430.9 0.153738
2.16 45377.6 0.15025
2.18 44381 0.146951
2.2 43657.5 0.144555
2.22 43363.1 0.14358
2.24 43264.3 0.143253
2.26 43158.1 0.142901
2.28 42973.8 0.142291
2.3 42666.2 0.141272
2.32 42285.8 0.140013
2.34 41840.4 0.138538
2.36 41344.2 0.136895
2.38 40802.8 0.135103
2.4 40234.7 0.133222
2.42 39654.3 0.1313
2.44 39079.2 0.129396
2.46 38521.2 0.127548
2.48 37997 0.125812
2.5 37513.7 0.124212
2.52 37089.9 0.122809
2.54 36734.1 0.121631
2.56 36462.7 0.120732
2.58 36265 0.120078
2.6 36129.1 0.119627
