  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90076054e-01   9.90000000e-01
     1       3   9.59104688e-01   8.78452236e-05
     1       4   3.42498416e-04   1.27684515e-03
     1       5   6.55766476e-04   9.21689795e-07
     1       6   9.40804516e-08   4.72189432e-07
     2       1   7.57031416e-07   5.00055171e-01
     2       2   4.98963022e-01   4.10341290e-09
     2       3   2.64225792e-05   6.97400980e-04
     3       1   7.68282087e-04   3.33365655e-01
     3       2   3.33930258e-01   7.69638087e-07
     3       3   8.72467937e-05   4.69145326e-04
     4       1   5.18985676e-04   2.50024625e-01
     4       2   2.51106066e-01   7.35058249e-07
     4       3   6.60284072e-05   3.54823017e-04
     5       1   3.93665975e-04   2.00019697e-01
     5       2   2.01354641e-01   6.34558931e-07
     5       3   5.40542832e-05   2.86334537e-04
     6       1   3.18513372e-04   1.66683096e-01
     6       2   1.68161839e-01   5.28494142e-07
     6       3   4.58664829e-05   2.40715243e-04
     7       1   2.68438096e-04   1.42871156e-01
     7       2   1.44444956e-01   4.79405134e-07
     7       3   4.05578152e-05   2.08135220e-04
     8       1   2.32682996e-04   1.25012197e-01
     8       2   1.26652788e-01   4.56634719e-07
     8       3   3.70371083e-05   1.83718403e-04
     9       1   2.06047904e-04   1.11121846e-01
     9       2   1.12813455e-01   4.98018629e-07
     9       3   3.93972558e-05   1.64719843e-04
    10       1   1.86626633e-04   1.00009595e-01
    10       2   1.01740564e-01   5.94078377e-07
    10       3   6.65539026e-05   1.49543761e-04
