  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
    33       3   5.03701793e-05   2.34636918e-03
    33       4   1.17790801e-06   5.99082818e-05
    34       1   1.66236291e+00   1.37002673e+00
    34       2   1.50924722e-03   3.34370193e+00
    34       3   4.29309193e-05   5.32268099e-03
    34       4   2.28650889e-06   4.93020022e-05
    35       1   1.52119577e+00   1.29885247e+00
    35       2   4.23766156e-03   3.92683024e+00
    35       3   3.04079725e-05   9.63994675e-03
    35       4   1.16935871e-06   4.26274636e-05
    36       1   1.42998143e+00   1.24841584e+00
    36       2   5.77275096e-03   4.52596779e+00
    36       3   1.16255762e-04   1.29702076e-02
    36       4   2.91079950e-06   1.57885808e-04
    37       1   1.36606851e+00   1.21044027e+00
    37       2   6.93210551e-03   5.14135261e+00
    37       3   1.30651391e-04   1.57508779e-02
    37       4   2.00053975e-07   1.75593998e-04
    38       1   1.31896134e+00   1.18063571e+00
    38       2   7.85881950e-03   5.76983985e+00
    38       3   1.64795089e-04   1.83670787e-02
    38       4   3.13994341e-07   2.24931372e-04
    39       1   1.28284194e+00   1.15638841e+00
    39       2   8.90206734e-03   6.40657763e+00
    39       3   1.96578171e-04   2.10744345e-02
    39       4   6.68888981e-07   2.70072274e-04
    40       1   1.25441845e+00   1.13610022e+00
    40       2   1.00237069e-02   7.04282913e+00
    40       3   2.25547344e-04   2.37890767e-02
    40       4   2.16332469e-07   3.11009764e-04
    41       1   1.23165179e+00   1.11869989e+00
    41       2   1.10801128e-02   7.66465908e+00
    41       3   2.57436071e-04   2.62352174e-02
    41       4   1.40982247e-06   3.57990758e-04
    42       1   1.21322770e+00   1.10343955e+00
    42       2   1.19903975e-02   8.24989641e+00
    42       3   2.78650770e-04   2.82150649e-02
    42       4   9.10336665e-07   3.86416987e-04
    43       1   1.19831294e+00   1.08978365e+00
    43       2   1.26939672e-02   8.76518566e+00
    43       3   2.90280093e-04   2.95215308e-02
    43       4   3.39306103e-07   3.99783530e-04
    44       1   1.18636806e+00   1.07731718e+00
    44       2   1.31234790e-02   9.16700489e+00
    44       3   2.97777035e-04   2.99613742e-02
    44       4   1.41711382e-06   4.05803394e-04
    45       1   1.17708832e+00   1.06570747e+00
    45       2   1.32929184e-02   9.40379759e+00
    45       3   2.89937861e-04   2.94579608e-02
    45       4   4.75205558e-07   3.84483380e-04
    46       1   1.17038500e+00   1.05466217e+00
    46       2   1.31246377e-02   9.42498629e+00
    46       3   2.73958424e-04   2.79045106e-02
    46       4   9.10880563e-07   3.51341546e-04
    47       1   1.16636501e+00   1.04389073e+00
    47       2   1.26308994e-02   9.19458461e+00
    47       3   2.47671647e-04   2.54167650e-02
    47       4   5.45922730e-07   3.01848985e-04
    48       1   1.16542090e+00   1.03306873e+00
