# Time forceX forceY forceZ normalForce
0.19 0.0676872 -6116.88 4.86609e-23 -6116.88
0.192 0.0676847 -6181.36 4.86609e-23 -6181.36
0.194 0.0676822 -6245.83 4.86609e-23 -6245.83
0.196 0.0676798 -6310.31 4.86609e-23 -6310.31
0.198 0.0676774 -6374.79 4.86609e-23 -6374.79
0.2 0.0676751 -6439.27 4.86609e-23 -6439.27
0.202 0.0676729 -6503.75 4.86609e-23 -6503.75
0.204 0.0676708 -6568.23 4.86609e-23 -6568.23
0.206 0.0676688 -6632.71 4.86609e-23 -6632.71
0.208 0.0676669 -6697.19 4.86609e-23 -6697.19
0.21 0.0676651 -6761.67 4.86609e-23 -6761.67
0.212 0.0676634 -6826.15 4.86609e-23 -6826.15
0.214 0.0676618 -6890.63 4.86609e-23 -6890.63
0.216 0.0676604 -6955.11 4.86609e-23 -6955.11
0.218 0.067659 -7019.59 4.86609e-23 -7019.59
0.22 0.0676578 -7084.07 4.86609e-23 -7084.07
0.222 0.0676566 -7148.54 4.86609e-23 -7148.54
0.224 0.0676556 -7213.02 4.86609e-23 -7213.02
0.226 0.0676548 -7277.5 4.86609e-23 -7277.5
0.228 0.067654 -7341.98 4.86609e-23 -7341.98
0.23 0.0676534 -7406.46 4.86609e-23 -7406.46
0.232 0.0676529 -7470.94 4.86609e-23 -7470.94
0.234 0.0676526 -7535.42 4.86609e-23 -7535.42
0.236 0.0676524 -7599.9 4.86609e-23 -7599.9
0.238 0.0676523 -7664.38 4.86609e-23 -7664.38
0.24 0.0676523 -7728.86 4.86609e-23 -7728.86
0.242 0.0676525 -7793.34 4.86609e-23 -7793.34
0.244 0.0676528 -7857.82 4.86609e-23 -7857.82
0.246 0.0676532 -7922.3 4.86609e-23 -7922.3
0.248 0.0676538 -7986.78 4.86609e-23 -7986.78
0.25 0.0676544 -8051.26 4.86609e-23 -8051.26
0.252 0.0676552 -8115.73 4.86609e-23 -8115.73
0.254 0.0676561 -8180.21 4.86609e-23 -8180.21
0.256 0.0676571 -8244.69 4.86609e-23 -8244.69
0.258 0.0676582 -8309.17 4.86609e-23 -8309.17
0.26 0.0676595 -8373.65 4.86609e-23 -8373.65
0.262 0.0676607 -8438.13 4.86609e-23 -8438.13
0.264 0.0676621 -8502.61 4.86609e-23 -8502.61
0.266 0.0676634 -8567.09 4.86609e-23 -8567.09
0.268 0.0676648 -8631.57 4.86609e-23 -8631.57
0.27 0.067666 -8696.05 4.86609e-23 -8696.05
0.272 0.0676673 -8760.53 4.86609e-23 -8760.53
0.274 0.0676685 -8825.01 4.86609e-23 -8825.01
0.276 0.0676697 -8889.49 4.86609e-23 -8889.49
0.278 0.0676708 -8953.97 4.86609e-23 -8953.97
0.28 0.0676719 -9018.44 4.86609e-23 -9018.44
0.282 0.067673 -9082.92 4.86609e-23 -9082.92
0.284 0.0676741 -9147.4 4.86609e-23 -9147.4
0.286 0.0676751 -9211.88 4.86609e-23 -9211.88
0.288 0.0676761 -9276.36 4.86609e-23 -9276.36
0.29 0.0676771 -9340.84 4.86609e-23 -9340.84
0.292 0.067678 -9405.32 4.86609e-23 -9405.32
0.294 0.067679 -9469.8 4.86609e-23 -9469.8
0.296 0.0676798 -9534.28 4.86609e-23 -9534.28
0.298 0.0676807 -9598.76 4.86609e-23 -9598.76
0.3 0.0676815 -9663.24 4.86609e-23 -9663.24
0.302 0.0676823 -9727.71 4.86609e-23 -9727.71
0.304 0.067683 -9792.19 4.86609e-23 -9792.19
0.306 0.0676838 -9856.67 4.86609e-23 -9856.67
0.308 0.0676844 -9921.15 4.86609e-23 -9921.15
0.31 0.067685 -9985.63 4.86609e-23 -9985.63
0.312 0.0676856 -10050.1 4.86609e-23 -10050.1
0.314 0.0676861 -10114.6 4.86609e-23 -10114.6
0.316 0.0676866 -10179.1 4.86609e-23 -10179.1
0.318 0.067687 -10243.5 4.86609e-23 -10243.5
0.32 0.0676874 -10308 4.86609e-23 -10308
0.322 0.0676878 -10372.5 4.86609e-23 -10372.5
0.324 0.0676881 -10437 4.86609e-23 -10437
0.326 0.0676883 -10501.5 4.86609e-23 -10501.5
0.328 0.0676885 -10565.9 4.86609e-23 -10565.9
0.33 0.0676886 -10630.4 4.86609e-23 -10630.4
0.332 0.0676887 -10694.9 4.86609e-23 -10694.9
0.334 0.0676887 -10759.4 4.86609e-23 -10759.4
0.336 0.0676887 -10823.9 4.86609e-23 -10823.9
0.338 -0.0693389 -7628.68 1.04286e-20 -7628.68
0.34 -0.0141343 -7687.8 1.04286e-20 -7687.8
0.342 0.0140021 -7747 1.04286e-20 -7747
0.344 0.028699 -7806.21 1.04286e-20 -7806.21
0.346 0.0365184 -7865.43 1.04286e-20 -7865.43
0.348 0.0407356 -7924.65 1.04286e-20 -7924.65
