  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90440460e-01   9.90000000e-01
     1       3   9.93405246e-01   7.05745752e-05
     1       4   4.35278159e-04   3.03398642e-03
     1       5   2.17177393e-03   1.29342934e-05
     1       6   8.26044460e-07   6.57029953e-06
     2       1   6.97671537e-06   5.00065708e-01
     2       2   4.97520649e-01   1.05196722e-07
     2       3   3.37792431e-05   1.54768178e-03
     2       4   1.51663956e-04   5.30591059e-06
     2       5   2.22099738e-06   7.91922230e-07
     3       1   3.17790175e-06   3.33370552e-01
     3       2   3.30764556e-01   3.00557753e-08
     3       3   2.17102014e-05   1.02763130e-03
     3       4   1.97807395e-05   3.16706059e-06
     4       1   3.49732066e-06   2.50027370e-01
     4       2   2.47337382e-01   5.51843303e-08
     4       3   2.22530045e-05   7.68133692e-04
     5       1   7.40907790e-04   2.00020999e-01
     5       2   1.97408473e-01   4.66080850e-06
     5       3   2.17600951e-05   6.15106661e-04
