# Time dispX dispY dispZ forceX forceY forceZ
1 0 0 -2.5e-05 1.318925e-05 -3.2089015e-09 -0.0061665278
2 0 0 -5e-05 1.2955001e-05 -9.396245e-11 -0.012256812
3 0 0 -7.5e-05 1.2729414e-05 -1.0742733e-09 -0.018347018
4 0 0 -0.0001 1.2503098e-05 -1.4272195e-09 -0.024437224
5 0 0 -0.000125 1.2276815e-05 -1.6429133e-09 -0.030527429
6 0 0 -0.00015 1.2049452e-05 -5.6101e-10 -0.036617632
7 0 0 -0.000175 1.1823019e-05 -1.2865059e-09 -0.042707837
8 0 0 -0.0002 1.1598171e-05 -2.6496139e-09 -0.048798043
9 0 0 -0.000225 1.1370646e-05 -6.5868011e-10 -0.054888245
10 0 0 -0.00025 1.1143334e-05 -2.0913834e-09 -0.06097845
11 0 0 -0.000275 1.0916914e-05 -2.5798725e-09 -0.067068654
12 0 0 -0.0003 1.0690214e-05 -2.8883202e-09 -0.073158859
13 0 0 -0.000325 1.0465374e-05 -2.8876659e-09 -0.079249066
14 0 0 -0.00035 1.0238855e-05 -3.1444542e-09 -0.08533927
15 0 0 -0.000375 1.0011612e-05 -3.3547548e-09 -0.091429475
16 0 0 -0.0004 9.784205e-06 -3.5853689e-09 -0.097519678
17 0 0 -0.000425 9.5582449e-06 -3.7621518e-09 -0.10360988
18 0 0 -0.00045 9.3314831e-06 -3.8129594e-09 -0.10970009
19 0 0 -0.000475 9.1045353e-06 -3.635944e-09 -0.11579029
20 0 0 -0.0005 8.8777684e-06 -4.6946084e-09 -0.1218805
21 0 0 -0.000525 8.6520388e-06 -3.8878447e-09 -0.1279707
22 0 0 -0.00055 8.4243261e-06 -5.2880804e-09 -0.1340609
23 0 0 -0.000575 8.1998513e-06 -5.8070202e-09 -0.14015111
24 0 0 -0.0006 7.972222e-06 -5.8376522e-09 -0.14624132
25 0 0 -0.000625 7.746144e-06 -5.7889534e-09 -0.15233152
26 0 0 -0.00065 7.5203734e-06 -6.0023909e-09 -0.15842173
27 0 0 -0.000675 7.2914644e-06 -5.9151899e-09 -0.16451193
28 0 0 -0.0007 7.0668665e-06 -6.8605879e-09 -0.17060214
29 0 0 -0.000725 6.8407075e-06 -7.0841247e-09 -0.17669234
30 0 0 -0.00075 6.6133556e-06 -6.6041033e-09 -0.18278254
31 0 0 -0.000775 6.3853067e-06 -7.4511092e-09 -0.18887274
32 0 0 -0.0008 6.1596404e-06 -8.3275143e-09 -0.19496295
33 0 0 -0.000825 5.9333697e-06 -9.4579395e-09 -0.20105315
34 0 0 -0.00085 5.7069772e-06 -8.3926143e-09 -0.20714336
35 0 0 -0.000875 5.4805313e-06 -9.0222502e-09 -0.21323356
36 0 0 -0.0009 5.2556288e-06 -1.0194678e-08 -0.21932378
37 0 0 -0.000925 5.0274797e-06 -1.0159529e-08 -0.22541398
38 0 0 -0.00095 4.7999042e-06 -1.1635601e-08 -0.23150418
39 0 0 -0.000975 4.5729777e-06 -9.7193994e-09 -0.23759438
40 0 0 -0.001 4.3469047e-06 -1.0314843e-08 -0.24368459
