# Time Dx Dy Dz magD
0.086 1.61302e-05 -7.58002e-06 -1.80828e-05 2.53895e-05
0.087 1.6606e-05 -7.78194e-06 -1.81977e-05 2.58355e-05
0.088 1.72276e-05 -8.23736e-06 -1.83479e-05 2.64818e-05
0.089 1.80457e-05 -8.85696e-06 -1.84789e-05 2.7305e-05
0.09 1.84968e-05 -9.208e-06 -1.86001e-05 2.78008e-05
0.091 1.90065e-05 -9.59306e-06 -1.87013e-05 2.83374e-05
0.092 1.92042e-05 -9.66824e-06 -1.87484e-05 2.85268e-05
0.093 1.99203e-05 -1.03251e-05 -1.88859e-05 2.93275e-05
0.094 2.00715e-05 -1.04295e-05 -1.89128e-05 2.94845e-05
0.095 2.02137e-05 -1.05285e-05 -1.89801e-05 2.96595e-05
0.096 2.03374e-05 -1.04981e-05 -1.90006e-05 2.97463e-05
0.097 2.05475e-05 -1.04663e-05 -1.90411e-05 2.9905e-05
0.098 2.12106e-05 -1.10264e-05 -1.92516e-05 3.06935e-05
0.099 2.14538e-05 -1.12818e-05 -1.93355e-05 3.10065e-05
0.1 2.2016e-05 -1.17446e-05 -1.95205e-05 3.16811e-05
0.101 2.2347e-05 -1.20352e-05 -1.96259e-05 3.20844e-05
0.102 2.28528e-05 -1.2415e-05 -1.97799e-05 3.26746e-05
0.103 2.34443e-05 -1.31133e-05 -2.00478e-05 3.35188e-05
0.104 2.414e-05 -1.42844e-05 -2.03179e-05 3.46353e-05
0.105 2.42226e-05 -1.42731e-05 -2.03091e-05 3.4683e-05
0.106 2.42371e-05 -1.42182e-05 -2.032e-05 3.4677e-05
0.107 2.42108e-05 -1.41517e-05 -2.0325e-05 3.46343e-05
0.108 2.47772e-05 -1.44539e-05 -2.05556e-05 3.52897e-05
0.109 2.48352e-05 -1.44505e-05 -2.05506e-05 3.53261e-05
0.11 2.59424e-05 -1.54996e-05 -2.05793e-05 3.65616e-05
0.111 2.61082e-05 -1.54578e-05 -2.05746e-05 3.66592e-05
0.112 2.61281e-05 -1.53805e-05 -2.05889e-05 3.66489e-05
0.113 2.67277e-05 -1.56456e-05 -2.06178e-05 3.72055e-05
0.114 2.74963e-05 -1.66695e-05 -2.0631e-05 3.82041e-05
0.115 2.77788e-05 -1.69282e-05 -2.06155e-05 3.85126e-05
0.116 2.82482e-05 -1.74875e-05 -2.06115e-05 3.90974e-05
0.117 2.87185e-05 -1.80176e-05 -2.06056e-05 3.96734e-05
0.118 2.91355e-05 -1.83852e-05 -2.06038e-05 4.01424e-05
0.119 2.94822e-05 -1.86599e-05 -2.05952e-05 4.05161e-05
0.12 2.95478e-05 -1.86476e-05 -2.06013e-05 4.05613e-05
0.121 2.96842e-05 -1.86837e-05 -2.06215e-05 4.06876e-05
0.122 2.96991e-05 -1.86636e-05 -2.06295e-05 4.06933e-05
0.123 2.9894e-05 -1.87139e-05 -2.06426e-05 4.08654e-05
0.124 3.01418e-05 -1.88865e-05 -2.06706e-05 4.114e-05
0.125 3.03956e-05 -1.90018e-05 -2.06899e-05 4.13888e-05
0.126 3.03976e-05 -1.89265e-05 -2.07043e-05 4.1363e-05
0.127 3.04481e-05 -1.88871e-05 -2.07113e-05 4.13856e-05
0.128 3.0535e-05 -1.88872e-05 -2.07303e-05 4.14591e-05
0.129 3.05092e-05 -1.8851e-05 -2.07388e-05 4.14279e-05
0.13 3.0445e-05 -1.87685e-05 -2.07575e-05 4.13525e-05
0.131 3.04331e-05 -1.87257e-05 -2.07645e-05 4.13278e-05
0.132 3.02074e-05 -1.86178e-05 -2.07834e-05 4.11225e-05
0.133 3.0575e-05 -1.85929e-05 -2.07857e-05 4.13833e-05
0.134 3.0633e-05 -1.85005e-05 -2.07978e-05 4.13908e-05
0.135 3.09606e-05 -1.85611e-05 -2.07319e-05 4.16279e-05
0.136 3.09423e-05 -1.84813e-05 -2.07433e-05 4.15845e-05
0.137 3.09908e-05 -1.85023e-05 -2.06912e-05 4.1604e-05
0.138 3.09451e-05 -1.84168e-05 -2.07004e-05 4.15365e-05
0.139 3.08535e-05 -1.83372e-05 -2.07127e-05 4.14392e-05
0.14 3.07408e-05 -1.82503e-05 -2.07268e-05 4.1324e-05
0.141 3.05365e-05 -1.81525e-05 -2.07433e-05 4.11373e-05
0.142 3.03341e-05 -1.80539e-05 -2.07599e-05 4.09521e-05
0.143 3.0152e-05 -1.79461e-05 -2.0778e-05 4.07791e-05
0.144 3.02543e-05 -1.78297e-05 -2.07786e-05 4.08041e-05
0.145 3.03551e-05 -1.77534e-05 -2.07544e-05 4.08333e-05
0.146 3.03413e-05 -1.76881e-05 -2.07478e-05 4.07914e-05
0.147 3.06297e-05 -1.77939e-05 -2.05944e-05 4.09747e-05
0.148 3.06748e-05 -1.77421e-05 -2.05161e-05 4.09467e-05
0.149 3.0956e-05 -1.78846e-05 -2.03638e-05 4.11439e-05
0.15 3.15841e-05 -1.78588e-05 -2.03586e-05 4.16049e-05
0.151 3.30789e-05 -1.84679e-05 -2.03621e-05 4.30104e-05
0.152 3.36721e-05 -1.88659e-05 -2.03292e-05 4.36235e-05
0.153 3.40792e-05 -1.91336e-05 -2.02978e-05 4.40396e-05
0.154 3.44121e-05 -1.93149e-05 -2.02774e-05 4.4367e-05
