  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90030335e-01   9.90000000e-01
     1       3   8.87952039e-01   9.72254236e-05
     1       4   3.12597280e-04   6.78659381e-04
     1       5   4.00659552e-04   1.65976665e-07
     1       6   8.11163950e-08   1.56380307e-07
     2       1   3.39361827e-07   5.00054334e-01
     2       2   4.95889131e-01   4.82545250e-10
     2       3   2.65412483e-05   4.06541575e-04
     3       1   4.44817295e-04   3.33366431e-01
     3       2   3.32452319e-01   3.05059582e-07
     3       3   8.61393411e-05   2.72400615e-04
     4       1   2.99788856e-04   2.50025204e-01
     4       2   2.50055488e-01   2.62464713e-07
     4       3   6.46359946e-05   2.05229717e-04
     5       1   2.26937137e-04   2.00017227e-01
     5       2   2.00444813e-01   2.35348488e-07
     5       3   7.54621772e-05   1.64956138e-04
     6       1   1.92301988e-04   1.66685836e-01
     6       2   1.67317190e-01   3.22826031e-07
     6       3   2.27033305e-04   1.38117408e-04
     6       4   5.83192860e-04   1.25002449e-06
     6       5   4.00670834e-05   6.97196186e-07
