  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90079613e-01   9.90000000e-01
     1       3   9.61104256e-01   8.75268342e-05
     1       4   3.43290116e-04   1.31432486e-03
     1       5   6.72026661e-04   9.99972261e-07
     1       6   9.59779818e-08   4.97694485e-07
     2       1   7.89862205e-07   5.00055150e-01
     2       2   4.99065663e-01   4.55236489e-09
     2       3   2.64152251e-05   7.15855818e-04
     3       1   7.88802787e-04   3.33365614e-01
     3       2   3.33976505e-01   8.94304833e-07
     3       3   8.74263375e-05   4.81604267e-04
     4       1   5.32874633e-04   2.50024729e-01
     4       2   2.51145413e-01   8.40071989e-07
     4       3   6.60048349e-05   3.64397584e-04
     5       1   4.04437599e-04   2.00019669e-01
     5       2   2.01393150e-01   7.56086085e-07
     5       3   5.57448027e-05   2.94164809e-04
     6       1   3.27718632e-04   1.66683079e-01
     6       2   1.68201910e-01   6.47288485e-07
     6       3   6.02050785e-05   2.47333213e-04
     7       1   2.80820488e-04   1.42871136e-01
     7       2   1.44480736e-01   7.85365523e-07
     7       3   1.28677444e-04   2.13880812e-04
     7       4   1.50690274e-04   2.34329950e-06
     7       5   1.40495095e-04   1.10649931e-06
     7       6   2.37508250e-06   1.67485394e-07
     8       1   3.65153881e-06   1.25012125e-01
     8       2   1.26681143e-01   7.22879918e-08
     8       3   1.13658055e-05   1.87886675e-04
     9       1   2.10750682e-04   1.11121772e-01
     9       2   1.12625550e-01   3.96432290e-06
     9       3   6.88567940e-05   1.69937547e-04
    10       1   1.54237862e-03   1.00009637e-01
    10       2   4.74284610e-03   1.45647340e-04
    10       3   1.61789058e-02   1.88989337e-05
    10       4   1.39079014e-02   7.90850400e-06
    10       5   4.21767145e-02   5.18518015e-06
    10       6   2.42433691e-04   5.28562851e-07
    10       7   1.98926761e-04   3.14226465e-07
    10       8   5.43651834e-05   8.62555961e-07
