  Time  Coordinate0  Coordinate1  Coordinate2  Displacements0  Displacements1  Displacements2  Forces0  Forces1  Forces2
 0.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -1.54306878e-07  -3.89914355e-16  -5.28755467e-08   6.97174249e-05   1.17697346e-16   1.31891131e-07
 2.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -9.77180720e-08  -7.98628369e-16  -2.70809484e-07   1.39552505e-04  -2.68678851e-17   5.61400194e-07
 3.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -3.96675257e-08   1.05205596e-14  -4.88842101e-07   2.09490817e-04   1.55041080e-15   1.29084081e-06
 4.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   1.97238823e-08  -2.15463902e-14  -7.06977672e-07   2.79533442e-04   4.37630092e-14   2.32182417e-06
 5.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   8.04645984e-08   2.28215344e-13  -9.25207543e-07   3.49679419e-04  -1.09860834e-13   3.65616840e-06
 6.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   1.42563692e-07  -5.14230892e-13  -1.14352378e-06   4.19928026e-04   1.05226205e-12   5.29576409e-06
 7.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   2.06163868e-07   5.19054612e-13  -1.36189622e-06   4.90278418e-04   8.10395289e-13   7.24425140e-06
 8.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   2.70870319e-07   1.95548156e-12  -1.58038021e-06   5.60730053e-04   3.18286294e-12   9.49852076e-06
 9.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   3.37093591e-07   9.39101762e-12  -1.79890415e-06   6.31281944e-04   7.51403873e-12   1.20656107e-05
 1.00000000e+01   2.35000000e-03   0.00000000e+00   3.00000000e-02   4.04851503e-07   2.00146977e-11  -2.01745479e-06   7.01933104e-04   5.25965552e-11   1.49487686e-05
