# Time forceX forceY forceZ normalForce
0.097 -0.00349183 -0.000497445 3.48535e-06 -0.0376373
0.098 -0.00348675 -0.000492607 3.5152e-06 -0.0376337
0.099 -0.0034955 -0.000492811 3.47682e-06 -0.0376234
0.1 -0.00348616 -0.000486779 3.55623e-06 -0.0376331
0.101 -0.00347189 -0.000473232 3.54723e-06 -0.0376326
0.102 -0.00347719 -0.000485704 3.53444e-06 -0.0376318
0.103 -0.00347107 -0.000478013 3.58324e-06 -0.037625
0.104 -0.00346039 -0.00046196 3.60104e-06 -0.0376261
0.105 -0.00347322 -0.00047159 3.60082e-06 -0.0376254
0.106 -0.00342588 -0.000469361 3.64054e-06 -0.0376272
0.107 -0.00351253 -0.000488794 3.62855e-06 -0.037626
0.108 -0.00344739 -0.000471109 3.61114e-06 -0.0376295
0.109 -0.00351208 -0.000482182 3.62477e-06 -0.0376276
0.11 -0.00343898 -0.000458221 3.60636e-06 -0.0376306
0.111 -0.00341362 -0.000472503 3.65663e-06 -0.0376289
0.112 -0.00349686 -0.000488022 3.6876e-06 -0.0376313
0.113 -0.00342941 -0.000469277 3.8274e-06 -0.0376332
0.114 -0.00342487 -0.000461512 3.82171e-06 -0.0376336
0.115 -0.00342443 -0.000469316 3.86078e-06 -0.0376359
0.116 -0.00341529 -0.000457624 3.90046e-06 -0.037639
0.117 -0.00340975 -0.000465803 3.90622e-06 -0.0376396
0.118 -0.00339956 -0.000456393 3.94092e-06 -0.0376405
0.119 -0.00338932 -0.00045176 3.94419e-06 -0.0376404
0.12 -0.00342068 -0.000465182 3.919e-06 -0.0376421
0.121 -0.00339293 -0.000462479 3.9859e-06 -0.0376448
0.122 -0.00341876 -0.000474878 3.96365e-06 -0.0376466
0.123 -0.00338795 -0.000459757 4.02699e-06 -0.0376476
0.124 -0.00338847 -0.000460577 4.02189e-06 -0.0376494
0.125 -0.00339011 -0.000467389 4.01438e-06 -0.0376504
0.126 -0.00341766 -0.000468882 4.07648e-06 -0.0376501
0.127 -0.00338193 -0.000467137 4.04845e-06 -0.0376352
0.128 -0.00338785 -0.000470003 4.12092e-06 -0.0376577
0.129 -0.00340454 -0.000476301 4.10903e-06 -0.0376573
0.13 -0.00338004 -0.000466685 4.1217e-06 -0.037643
0.131 -0.00340157 -0.000475117 4.12495e-06 -0.0376622
0.132 -0.00341577 -0.00047947 4.11754e-06 -0.0376628
0.133 -0.0033781 -0.000467509 4.13941e-06 -0.0376673
0.134 -0.00337061 -0.00047653 4.18399e-06 -0.0376637
0.135 -0.00337884 -0.000468549 4.16895e-06 -0.0377459
0.136 -0.00342197 -0.000481926 4.13624e-06 -0.0376688
0.137 -0.00337916 -0.000473455 4.23736e-06 -0.0377028
0.138 -0.00342223 -0.000483891 4.20969e-06 -0.0376738
0.139 -0.00339627 -0.000482477 4.19065e-06 -0.0376742
0.14 -0.00340151 -0.000483896 4.19112e-06 -0.0376753
0.141 -0.00340361 -0.000485846 4.20284e-06 -0.0376779
0.142 -0.00340901 -0.000487852 4.22754e-06 -0.0376804
0.143 -0.00343545 -0.000489368 4.276e-06 -0.0376829
0.144 -0.00338001 -0.000490751 4.34843e-06 -0.0376706
0.145 -0.00337152 -0.000486601 4.33108e-06 -0.037663
0.146 -0.00341968 -0.00049195 4.29919e-06 -0.0376908
0.147 -0.00338067 -0.00048258 4.26716e-06 -0.0376785
0.148 -0.00337693 -0.000489455 4.25063e-06 -0.0376778
0.149 -0.00337639 -0.000476731 4.23091e-06 -0.0376896
0.15 -0.00333894 -0.000479536 4.26162e-06 -0.0376886
0.151 -0.00336333 -0.000473344 4.26515e-06 -0.0376845
0.152 -0.00336646 -0.000473455 4.25343e-06 -0.0376835
0.153 -0.00335932 -0.000466932 4.27756e-06 -0.0376828
0.154 -0.00335846 -0.000471128 4.29314e-06 -0.0376829
0.155 -0.00335815 -0.000470463 4.29685e-06 -0.037682
0.156 -0.0033462 -0.000467786 4.29632e-06 -0.0376811
0.157 -0.00333593 -0.000464307 4.3203e-06 -0.0376828
0.158 -0.00335126 -0.000468471 4.32593e-06 -0.0376833
