  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90030335e-01   9.90000000e-01
     1       3   8.87952023e-01   9.72251837e-05
     1       4   3.12583253e-04   6.78659346e-04
     1       5   4.00659739e-04   1.65980068e-07
     1       6   8.10490884e-08   1.56380311e-07
     2       1   3.39362113e-07   5.00054334e-01
     2       2   4.95889133e-01   4.81705627e-10
     2       3   2.65211150e-05   4.06541588e-04
     3       1   4.44817301e-04   3.33366432e-01
     3       2   3.32451165e-01   3.05707157e-07
     3       3   8.61319714e-05   2.72399752e-04
     4       1   2.99787796e-04   2.50025206e-01
     4       2   2.50054626e-01   2.64998430e-07
     4       3   6.49894946e-05   2.05229518e-04
     5       1   5.65594263e-04   2.00017226e-01
     5       2   2.00298046e-01   1.85055473e-06
     5       3   2.08176161e-03   1.64697218e-04
     5       4   1.31097664e-03   1.35059598e-04
     5       5   5.26812912e-03   7.09578049e-05
     5       6   5.55179488e-03   9.30190205e-08
     5       7   4.83846660e-05   1.64228204e-07
     6       1   1.41046890e-06   1.66685829e-01
     6       2   1.67315480e-01   7.95168812e-09
     6       3   1.31294620e-03   1.37653910e-04
     6       4   1.29426382e-03   2.71295963e-07
     6       5   6.35775675e-04   2.61717909e-07
     6       6   1.64992520e-04   5.57072061e-09
     6       7   6.81661345e-07   1.92659873e-09
