  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
    21       3   4.40279435e-03   2.80802218e-02
    21       4   6.71021366e-04   2.21727893e-03
    21       5   6.47411089e-05   3.74200200e-04
    21       6   2.56675674e-06   3.89445645e-05
    22       1   3.49601549e-02   1.13618699e-01
    22       2   6.35879259e-02   3.53647030e-02
    22       3   1.10014736e-02   4.01336102e-02
    22       4   2.79098469e-03   7.41331231e-03
    22       5   4.31961936e-05   1.49230842e-03
    22       6   3.47955621e-05   2.24551527e-05
    23       1   8.28909492e-01   7.93177451e-01
    23       2   4.00257845e-02   4.44886048e-01
    23       3   1.43936269e-02   1.72256694e-02
    23       4   4.57033222e-03   5.61986360e-03
    23       5   1.24575345e-04   2.73863580e-03
    23       6   7.41338936e-05   9.47381261e-05
    24       1   3.12897334e+00   1.30179286e+00
    24       2   5.12395208e-01   6.83906113e-01
    24       3   6.27975929e-02   2.43475681e-01
    24       4   4.63053024e-02   6.22262316e-02
    24       5   1.94859719e-02   1.40913816e-02
    24       6   6.37382258e-04   1.06735230e-02
    24       7   9.48328651e-04   1.18786350e-04
    24       8   3.26544109e-05   5.13003753e-04
    24       9   1.14632405e-05   1.63225389e-05
    25       1   1.53928310e+01   1.32588233e+00
    25       2   9.58363284e-02   9.67977869e-01
    25       3   6.08890201e-03   4.60788152e-02
    25       4   7.87721545e-04   3.88559870e-03
    25       5   5.21900897e-06   3.77393083e-04
    25       6   9.70232646e-06   2.12651650e-06
    26       1   1.02998620e+01   1.19395824e+00
    26       2   1.65143393e-02   9.99375441e-01
    26       3   1.00393529e-02   2.65039031e-03
    26       4   1.05391382e-03   4.67064488e-03
    26       5   1.00744802e-04   6.00890358e-04
    26       6   1.70190024e-05   5.29911551e-05
    27       1   1.09306145e+01   1.01783651e+00
    27       2   5.81408073e-02   9.00896945e-01
    27       3   3.74761579e-03   2.10370748e-02
    27       4   8.24056285e-04   1.62369105e-03
    27       5   1.00588804e-04   3.19992634e-04
    27       6   7.27776171e-06   4.66102968e-05
    28       1   5.99579149e+00   7.78632447e-01
    28       2   1.32701670e-01   6.23855989e-01
    28       3   2.22545815e-03   5.85127902e-02
    28       4   7.90961466e-04   4.46472597e-04
    28       5   1.40616783e-04   3.21763533e-04
    28       6   3.26136756e-05   4.91167177e-05
    29       1   1.15862540e+00   4.42985716e-01
    29       2   6.08944256e-02   3.84856390e-01
    29       3   1.01855463e-02   1.79639196e-02
    29       4   1.78827785e-04   4.50022134e-03
    29       5   1.58707260e-04   1.08510745e-04
    29       6   7.37689890e-07   6.38068269e-05
    30       1   1.23430737e-01   7.40458345e-02
    30       2   1.31210860e-01   1.63609856e-02
    30       3   3.80535045e-03   5.48359667e-02
    30       4   1.89871565e-04   1.22240340e-03
    30       5   3.23106070e-04   1.86037516e-04
    30       6   1.98122392e-05   1.29832002e-04
    30       7   2.64468170e-06   8.39485164e-06
    31       1   2.23941230e-01   2.28841904e-01
    31       2   2.90325363e-03   1.99136523e-01
    31       3   8.35904951e-04   2.52900637e-03
    31       4   2.10276740e-05   3.52824058e-04
    31       5   1.15740757e-05   8.94519580e-06
    32       1   3.56452960e-01   3.73326458e-01
    32       2   1.50161539e-03   3.82749925e-01
    32       3   6.71073485e-03   1.35537642e-03
    32       4   3.19991755e-04   2.96863308e-03
    32       5   9.55147888e-05   2.11754909e-04
    32       6   2.48269868e-06   4.20339265e-05
    33       1   3.96385718e-01   4.22114294e-01
    33       2   7.71577034e-03   4.73998856e-01
    33       3   5.71766463e-03   3.55138419e-03
    33       4   8.90884749e-04   2.32073024e-03
    33       5   5.39803452e-07   4.67814788e-04
    33       6   6.10708393e-06   4.40848333e-07
    34       1   3.87295580e-01   4.13606274e-01
    34       2   1.21145064e-02   4.64150269e-01
    34       3   5.34642809e-03   6.31185658e-03
    34       4   6.32203968e-05   2.88046316e-03
    34       5   4.11798416e-05   2.24949852e-05
    35       1   3.47113962e-01   3.68944452e-01
    35       2   2.75746164e-02   3.94693836e-01
    35       3   1.07138180e-03   1.70552097e-02
    35       4   1.35125650e-05   7.27387394e-04
    35       5   5.44598241e-06   2.96237129e-06
    36       1   2.84268023e-01   2.98576428e-01
    36       2   2.56689790e-02   3.02581172e-01
    36       3   7.74441151e-04   1.65823171e-02
    36       4   1.09842411e-04   2.48690045e-04
    36       5   2.69746839e-06   6.14582013e-05
    37       1   2.04626340e-01   2.10352505e-01
    37       2   3.39645610e-02   1.91019847e-01
    37       3   2.00778745e-03   1.92684250e-02
    37       4   1.25673393e-04   1.12992153e-03
    37       5   2.60388348e-05   6.92975307e-05
    38       1   1.13862918e-01   1.12281821e-01
    38       2   1.65748075e-02   9.69877826e-02
    38       3   8.15580919e-04   1.07579312e-02
    38       4   3.68820784e-04   5.69509552e-04
    38       5   2.25751362e-05   2.05772911e-04
    38       6   5.52842735e-06   1.35147161e-05
    39       1   1.99232344e-02   1.76738057e-02
    39       2   4.82903564e-02   4.17639349e-02
    39       3   7.52031318e-03   2.11811994e-02
    39       4   5.14603823e-04   4.05311501e-03
    39       5   1.11474623e-04   2.53798177e-04
    39       6   9.58874941e-06   5.75708670e-05
    40       1   6.69571542e-02   7.09577428e-02
    40       2   6.91580860e-03   5.92606324e-02
    40       3   1.02571914e-03   3.95309954e-03
    40       4   4.35998585e-05   5.42663795e-04
    40       5   1.18570708e-05   2.46108410e-05
    41       1   1.34411524e-01   1.30804205e-01
    41       2   4.07696617e-03   1.05522814e-01
    41       3   9.65917457e-04   2.10652633e-03
    41       4   1.47317491e-04   4.16640206e-04
    41       5   2.44497972e-05   7.13731870e-05
    42       1   1.71718592e-01   1.60178001e-01
    42       2   3.42306833e-03   1.25002343e-01
    42       3   1.04163177e-03   2.07546850e-03
    42       4   5.14944942e-04   8.38249850e-04
    42       5   6.69449410e-05   3.04004327e-04
    42       6   8.89484660e-06   3.79211815e-05
    43       1   1.75552058e-01   1.59627094e-01
    43       2   1.27483663e-02   1.33142408e-01
    43       3   1.12280998e-04   5.93291775e-03
    43       4   1.04836410e-05   1.28770984e-04
    43       5   1.24822218e-05   2.57512440e-06
    44       1   1.49822297e-01   1.34637934e-01
    44       2   4.14207807e-03   1.07572316e-01
    44       3   3.80334452e-03   4.76508799e-03
    44       4   4.50494202e-04   2.22904146e-03
    44       5   1.46104088e-05   2.13438308e-04
    44       6   3.60785692e-06   7.90009362e-06
    45       1   1.05826890e-01   9.44691561e-02
    45       2   1.73560736e-02   7.08855806e-02
    45       3   9.52259195e-04   8.82533970e-03
    45       4   6.42711215e-05   6.39286631e-04
    45       5   1.47301389e-06   2.88739597e-05
    46       1   5.60994374e-02   4.91086477e-02
    46       2   1.78932008e-02   5.12583738e-02
    46       3   2.08589162e-03   1.02088852e-02
    46       4   2.87983064e-04   1.20386835e-03
    46       5   3.67855308e-06   1.41361773e-04
    46       6   1.66713360e-06   1.25633182e-06
    47       1   1.02172814e-02   9.02444668e-03
    47       2   5.59479797e-02   3.64419604e-02
    47       3   1.04187732e-02   2.46595368e-02
    47       4   1.98864573e-03   4.63942315e-03
    47       5   9.16391250e-06   1.09627033e-03
    47       6   1.44481879e-05   2.74220465e-06
    48       1   2.62315516e-02   3.01959111e-02
    48       2   1.68385317e-02   3.24834248e-02
    48       3   1.30998920e-03   9.23609075e-03
    48       4   5.41015178e-05   6.28914705e-04
    48       5   3.13461817e-06   2.34739763e-05
    49       1   5.14616054e-02   5.41875303e-02
    49       2   9.67506614e-05   4.63451105e-02
    49       3   2.99698337e-04   7.58632393e-05
    49       4   1.24916650e-04   7.86412355e-05
    49       5   2.90318612e-05   5.19142708e-05
    50       1   6.50466535e-02   6.71947320e-02
    50       2   1.07428787e-03   5.93459727e-02
    50       3   7.03706047e-04   5.79902467e-04
    50       4   3.04506554e-05   3.49274729e-04
    50       5   8.54899363e-06   1.50910608e-05
    51       1   6.87580930e-02   7.04132680e-02
    51       2   1.63208954e-03   6.14016169e-02
    51       3   3.01195616e-04   1.07783632e-03
    51       4   8.78798101e-05   2.14217353e-04
    51       5   1.03159979e-05   5.05007951e-05
    52       1   6.42381967e-02   6.53771295e-02
    52       2   6.66029094e-03   5.43319461e-02
    52       3   7.50944937e-04   3.57197126e-03
    52       4   2.46443614e-06   4.30962050e-04
    52       5   5.45964371e-06   9.84792843e-07
    53       1   5.40444301e-02   5.45253797e-02
    53       2   1.61489831e-02   3.96627872e-02
    53       3   1.03894316e-03   9.68193476e-03
    53       4   2.33229635e-04   6.01439597e-04
    53       5   1.43950742e-05   1.25534700e-04
    53       6   1.05724575e-06   6.99772441e-06
    54       1   4.02944768e-02   4.04909006e-02
    54       2   4.34754351e-02   1.46264142e-02
    54       3   2.58619777e-03   2.28140792e-02
    54       4   4.99513948e-04   1.33575372e-03
    54       5   1.16445991e-04   3.38820341e-04
    54       6   6.88948575e-06   6.33570749e-05
    55       1   2.51952401e-02   2.53157067e-02
    55       2   2.33089902e-02   1.04045047e-02
    55       3   1.66761939e-03   1.20660750e-02
    55       4   3.29382802e-04   8.22945223e-04
    55       5   7.50991332e-06   1.88073197e-04
    55       6   4.27884993e-06   4.76053295e-06
    56       1   1.09866148e-02   1.12781349e-02
    56       2   3.50595470e-03   7.78059344e-03
    56       3   7.76178470e-04   1.51057968e-03
    56       4   7.60573170e-05   3.88935602e-04
    56       5   2.75274203e-06   4.25615357e-05
    57       1   8.07084078e-04   2.18589106e-03
    57       2   5.22801058e-04   3.18541754e-04
    57       3   3.12118860e-05   2.50827876e-04
    57       4   1.26525713e-06   1.84175287e-05
    58       1   9.22639202e-03   8.69111752e-03
    58       2   1.77636992e-04   7.43790161e-03
    58       3   1.68867355e-04   5.45541836e-05
    58       4   1.30705921e-05   8.52002375e-05
