  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
   210     674       3       1      16       2       0
   211     678       4       1      16       3       0
   212     679       1       1      16       3       0
   213     680       1       1      16       3       0
   214     685       5       1      16       4       0
   215     688       3       1      16       2       0
   216     691       3       1      14       4       0
   217     694       3       1      15       1       0
   218     697       3       1      15       2       0
   219     700       3       1      16       1       0
   220     703       3       1      15       3       0
   221     706       3       1      16       1       0
   222     709       3       1      16       1       1
   223     712       3       1      16       2       0
   224     715       3       1      16       2       0
   225     718       3       1      16       1       1
   226     719       1       1      16       1       1
   227     722       3       1      15       3       0
   228     725       3       1      15       2       0
   229     728       3       1      15       2       0
   230     733       5       1      16       3       0
   231     736       3       1      16       2       0
   232     739       3       1      15       3       0
   233     742       3       1      15       2       0
   234     745       3       1      14       3       0
   235     748       3       1      14       2       0
   236     751       3       1      14       2       0
   237     754       3       1      15       1       0
   238     757       3       1      16       1       0
   239     760       3       1      17       1       0
   240     763       3       1      16       3       0
   241     767       4       1      15       4       0
   242     772       5       1      15       4       0
   243     775       3       1      14       3       0
   244     778       3       1      15       1       0
   245     781       3       1      15       2       0
   246     784       3       1      15       2       0
   247     787       3       1      15       2       0
   248     795       8       1      16       6       0
   249     798       3       1      15       3       0
   250     801       3       1      16       1       0
   251     804       3       1      16       2       0
   252     807       3       1      16       2       0
   253     808       1       1      16       2       0
   254     810       2       1      16       1       0
   255     814       4       1      16       3       0
   256     817       3       1      16       2       0
   257     820       3       1      16       2       0
   258     823       3       1      16       2       0
   259     826       3       1      15       3       0
   260     829       3       1      15       2       0
   261     832       3       1      15       2       0
   262     835       3       1      15       2       0
   263     839       4       1      16       2       0
   264     843       4       1      15       4       0
   265     846       3       1      16       1       0
   266     849       3       1      16       2       0
   267     852       3       1      16       2       0
   268     855       3       1      16       2       0
   269     858       3       1      16       1       1
   270     861       3       1      16       2       0
   271     862       1       1      16       2       0
   272     866       4       1      15       4       0
   273     870       4       1      16       2       0
   274     873       3       1      15       3       0
   275     876       3       1      16       1       0
   276     880       4       1      16       3       0
   277     885       5       1      16       4       0
   278     886       1       1      16       4       0
   279     887       1       1      16       4       0
   280     894       7       1      16       6       0
   281     899       5       1      16       4       0
   282     903       4       1      16       3       0
   283     907       4       1      16       3       0
   284     917      10       1      16       9       0
   285     921       4       1      16       3       0
   286     924       3       1      17       1       0
   287     931       7       1      17       6       0
   288     936       5       1      17       4       0
   289     939       3       1      17       2       0
   290     942       3       1      18       1       0
   291     945       3       1      18       2       0
   292     948       3       1      17       3       0
   293     949       1       1      17       3       0
   294     952       3       1      17       2       0
   295     955       3       1      17       1       1
   296     957       2       1      17       1       0
   297     960       3       1      17       2       0
   298     963       3       1      16       2       1
   299     966       3       1      16       2       0
   300     969       3       1      16       2       0
   301     972       3       1      16       2       0
