  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90291176e-01   9.90000000e-01
     1       3   9.89545552e-01   7.09906399e-05
     1       4   4.33881994e-04   2.37935380e-03
     1       5   1.72358904e-03   6.30772296e-06
     1       6   6.41774858e-07   4.10075779e-06
     2       1   4.52872611e-06   5.00066391e-01
     2       2   4.97636814e-01   4.80423066e-08
     2       3   3.11385045e-05   1.22389235e-03
     2       4   1.48010344e-04   3.37898578e-06
     2       5   1.23445341e-06   4.25255146e-07
     3       1   1.81002453e-06   3.33371267e-01
     3       2   3.31124031e-01   5.40626091e-08
     3       3   1.41973396e-05   8.13291903e-04
     4       1   7.90691039e-04   2.50028067e-01
     4       2   2.46714757e-01   1.05817124e-05
     4       3   2.40075095e-05   6.04754290e-04
     5       1   5.84266894e-04   2.00021878e-01
     5       2   1.98382071e-01   3.72679542e-06
     5       3   2.57420791e-05   4.90351026e-04
