  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90046362e-01   9.90000000e-01
     1       3   9.29574065e-01   9.20769167e-05
     1       4   3.30347601e-04   9.21571768e-04
     1       5   5.03217722e-04   3.73181931e-07
     1       6   8.18665633e-08   2.63776204e-07
     2       1   4.84155124e-07   5.00056219e-01
     2       2   4.97609204e-01   1.30219448e-09
     2       3   2.65249727e-05   5.23471227e-04
     3       1   5.74877653e-04   3.33365430e-01
     3       2   3.33244239e-01   3.77604946e-07
     3       3   8.67128270e-05   3.51297527e-04
     4       1   3.87599739e-04   2.50026568e-01
     4       2   2.50583012e-01   3.10092069e-07
     4       3   6.49836471e-05   2.65096711e-04
     5       1   2.93306537e-04   2.00017102e-01
     5       2   2.00874899e-01   2.52438942e-07
     5       3   5.29604907e-05   2.13390956e-04
     6       1   2.36691105e-04   1.66686121e-01
     6       2   1.67704112e-01   2.25691116e-07
     6       3   4.61816613e-05   1.79013520e-04
     7       1   1.99449224e-04   1.42869132e-01
     7       2   1.43986695e-01   2.09952613e-07
     7       3   5.55214555e-05   1.54397439e-04
