  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90211996e-01   9.90000000e-01
     1       3   9.85070789e-01   7.15476640e-05
     1       4   4.31766489e-04   1.96846925e-03
     1       5   1.44266294e-03   3.62913636e-06
     1       6   4.89449965e-07   2.86634702e-06
     2       1   3.21495924e-06   5.00066766e-01
     2       2   4.97607225e-01   2.54672460e-08
     2       3   3.01200937e-05   1.02105104e-03
     2       4   1.47035135e-04   2.36671359e-06
     2       5   9.15407527e-07   2.68363810e-07
     3       1   1.24051717e-06   3.33371645e-01
     3       2   3.31317455e-01   8.32605985e-09
     3       3   1.00040205e-05   6.78730662e-04
     4       1   6.61042958e-04   2.50028592e-01
     4       2   2.47513569e-01   5.37997990e-06
     4       3   1.80694865e-05   5.06648753e-04
