  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90440460e-01   9.90000000e-01
     1       3   9.93405247e-01   7.05739918e-05
     1       4   4.35277234e-04   3.03398675e-03
     1       5   2.17177346e-03   1.29342930e-05
     1       6   8.26019590e-07   6.57029904e-06
     2       1   6.97671184e-06   5.00065709e-01
     2       2   4.97520651e-01   1.05188128e-07
     2       3   3.37773886e-05   1.54768158e-03
     2       4   1.51661514e-04   5.30590432e-06
     2       5   2.22104737e-06   7.91920091e-07
     3       1   3.17754576e-06   3.33370550e-01
     3       2   3.30764555e-01   3.00543314e-08
     3       3   2.17104124e-05   1.02762535e-03
     3       4   1.97747005e-05   3.19321028e-06
     4       1   3.50282068e-06   2.50027353e-01
     4       2   2.47337287e-01   5.56806683e-08
     4       3   2.22415665e-05   7.68124337e-04
     5       1   7.40896177e-04   2.00021005e-01
     5       2   1.97407570e-01   4.65693642e-06
     5       3   2.17671956e-05   6.15083692e-04
