  Time  Coordinate0  Coordinate1  Coordinate2  Displacements0  Displacements1  Displacements2  Forces0  Forces1  Forces2
 0.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
 1.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -1.56461594e-07  -3.73726423e-16  -4.44972728e-08   6.70339973e-05   1.01322928e-16   1.21322530e-07
 2.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -1.02117895e-07  -5.73502443e-16  -2.54042401e-07   1.34177232e-04   2.56023332e-16   5.17765998e-07
 3.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02  -4.64235933e-08   1.32010264e-16  -4.63678972e-07   2.01415918e-04   1.74415434e-15   1.19138157e-06
 4.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   1.05094099e-08  -7.40046249e-16  -6.73411543e-07   2.68751065e-04   4.27907323e-15   2.14359737e-06
 5.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   6.86886740e-08   5.79750727e-16  -8.83232497e-07   3.36181903e-04   6.62117015e-15   3.37602392e-06
 6.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   1.28122211e-07   1.68313218e-16  -1.09313471e-06   4.03707758e-04   1.05910001e-14   4.89033066e-06
 7.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   1.88817786e-07   2.12128069e-15  -1.30311062e-06   4.71327969e-04   1.30103685e-14   6.68823390e-06
 8.00000000e+00   2.35000000e-03   0.00000000e+00   3.00000000e-02   2.50783373e-07  -4.63009437e-15  -1.51315343e-06   5.39041846e-04   3.09330842e-14   8.77149784e-06
