  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90074304e-01   9.90000000e-01
     1       3   9.58047190e-01   8.80071409e-05
     1       4   3.42050221e-04   1.25813929e-03
     1       5   6.47633493e-04   8.84107204e-07
     1       6   9.30203161e-08   4.59662807e-07
     2       1   7.40847119e-07   5.00055151e-01
     2       2   4.98909575e-01   3.87138833e-09
     2       3   2.63793264e-05   6.88152576e-04
     3       1   7.57992456e-04   3.33365606e-01
     3       2   3.33897570e-01   7.80383927e-07
     3       3   8.73295942e-05   4.62869166e-04
     4       1   5.11982391e-04   2.50024608e-01
     4       2   2.51079351e-01   7.15945390e-07
     4       3   6.58874487e-05   3.50021972e-04
     5       1   3.88282943e-04   2.00019697e-01
     5       2   2.01329392e-01   6.18541986e-07
     5       3   5.39241689e-05   2.82450925e-04
     6       1   3.14148070e-04   1.66683077e-01
     6       2   1.68137500e-01   5.50345864e-07
     6       3   4.58719534e-05   2.37355364e-04
     7       1   2.64627604e-04   1.42871165e-01
     7       2   1.44419971e-01   4.62568230e-07
     7       3   4.01519472e-05   2.05284324e-04
     8       1   2.29437316e-04   1.25012202e-01
     8       2   1.26628706e-01   4.32323483e-07
     8       3   3.62424494e-05   1.81150269e-04
