  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90074304e-01   9.90000000e-01
     1       3   9.58047207e-01   8.79983301e-05
     1       4   3.42074183e-04   1.25813161e-03
     1       5   6.47647130e-04   8.84138160e-07
     1       6   9.31043542e-08   4.59667193e-07
     2       1   7.40918090e-07   5.00055181e-01
     2       2   4.98909613e-01   3.88976747e-09
     2       3   2.64224134e-05   6.88153383e-04
     3       1   7.57993500e-04   3.33365665e-01
     3       2   3.33904636e-01   7.58702322e-07
     3       3   8.73504741e-05   4.62860363e-04
     4       1   5.11967771e-04   2.50024630e-01
     4       2   2.51084116e-01   6.93846284e-07
     4       3   6.58387196e-05   3.50060968e-04
     5       1   3.88357731e-04   2.00019697e-01
     5       2   2.01334389e-01   5.88528750e-07
     5       3   5.49901597e-05   2.82439031e-04
     6       1   3.14392987e-04   1.66683105e-01
     6       2   1.68140380e-01   5.36188819e-07
     6       3   5.55181953e-05   2.37371052e-04
     7       1   2.68031909e-04   1.42871165e-01
     7       2   1.44420192e-01   5.71766917e-07
     7       3   1.08128586e-04   2.05279178e-04
     7       4   1.27755919e-04   2.09103396e-06
     7       5   1.26941985e-04   9.58617939e-07
     7       6   5.99269967e-07   1.58823846e-07
     8       1   3.74008478e-06   1.25012166e-01
     8       2   1.26604136e-01   8.57851450e-08
     8       3   9.03884335e-06   1.80201176e-04
