  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90460962e-01   9.90000000e-01
     1       3   9.93729773e-01   7.05317757e-05
     1       4   4.35339237e-04   3.11563413e-03
     1       5   2.22765696e-03   1.39897415e-05
     1       6   8.57723823e-07   6.91916093e-06
     2       1   7.31125066e-06   5.00065596e-01
     2       2   4.97497739e-01   1.14436406e-07
     2       3   3.41652508e-05   1.58808030e-03
     2       4   1.52335288e-04   5.58020471e-06
     2       5   2.35106674e-06   8.48055362e-07
     3       1   3.37023006e-06   3.33370438e-01
     3       2   3.30717552e-01   3.34996783e-08
     3       3   2.26900776e-05   1.05436339e-03
     3       4   2.08671456e-05   3.34947204e-06
     4       1   3.67776893e-06   2.50027233e-01
     4       2   2.47280186e-01   5.50203477e-08
     4       3   2.33412174e-05   7.88130821e-04
     5       1   7.59848993e-04   2.00020925e-01
     5       2   1.97374747e-01   4.93782960e-06
     5       3   2.28862193e-05   6.31224707e-04
