# Time dispX dispY dispZ forceX forceY forceZ
1 0 0 -2.5e-05 2.9461808e-07 -8.0831993e-10 -0.0001983154
2 0 0 -5e-05 2.342425e-07 1.1362077e-11 -0.00039416561
3 0 0 -7.5e-05 1.7512484e-07 -2.4641907e-11 -0.000590015
4 0 0 -0.0001 1.1596742e-07 -3.6278259e-11 -0.00078586436
5 0 0 -0.000125 5.6805879e-08 -4.4681038e-11 -0.00098171371
6 0 0 -0.00015 -2.3546821e-09 -5.3501433e-11 -0.0011775631
7 0 0 -0.000175 -6.1518293e-08 -6.393042e-11 -0.0013734124
8 0 0 -0.0002 -1.2068541e-07 -7.0992739e-11 -0.0015692617
9 0 0 -0.000225 -1.7985018e-07 -7.5686277e-11 -0.0017651111
10 0 0 -0.00025 -2.39011e-07 -8.1576559e-11 -0.0019609604
11 0 0 -0.000275 -2.9818478e-07 -8.9846577e-11 -0.0021568098
12 0 0 -0.0003 -3.5736084e-07 -9.506228e-11 -0.0023526591
13 0 0 -0.000325 -4.1650179e-07 -1.1112912e-10 -0.0025485085
14 0 0 -0.00035 -4.7569866e-07 -1.0846773e-10 -0.0027443578
15 0 0 -0.000375 -5.3487246e-07 -1.1765893e-10 -0.0029402072
16 0 0 -0.0004 -5.9402863e-07 -1.2959325e-10 -0.0031360565
17 0 0 -0.000425 -6.5317914e-07 -1.2909744e-10 -0.0033319059
18 0 0 -0.00045 -7.1236125e-07 -1.4873267e-10 -0.0035277552
19 0 0 -0.000475 -7.7153006e-07 -1.3615861e-10 -0.0037236046
20 0 0 -0.0005 -8.3068806e-07 -1.5887687e-10 -0.0039194539
21 0 0 -0.000525 -8.8989557e-07 -1.6484121e-10 -0.0041153033
22 0 0 -0.00055 -9.4903811e-07 -1.9199179e-10 -0.0043111526
23 0 0 -0.000575 -1.0084079e-06 -1.9622509e-10 -0.004507002
24 0 0 -0.0006 -1.0676245e-06 -2.0631206e-10 -0.0047028513
25 0 0 -0.000625 -1.1265152e-06 -2.0759802e-10 -0.0048987006
26 0 0 -0.00065 -1.1858442e-06 -2.2072698e-10 -0.0050945502
27 0 0 -0.000675 -1.2448997e-06 -2.1862607e-10 -0.0052903993
28 0 0 -0.0007 -1.3040506e-06 -2.2042167e-10 -0.0054862487
29 0 0 -0.000725 -1.3632208e-06 -2.4744245e-10 -0.0056820981
30 0 0 -0.00075 -1.4225786e-06 -2.4504759e-10 -0.0058779473
31 0 0 -0.000775 -1.4818094e-06 -2.4215705e-10 -0.0060737967
32 0 0 -0.0008 -1.5407434e-06 -2.3666651e-10 -0.0062696462
33 0 0 -0.000825 -1.599919e-06 -2.5005678e-10 -0.0064654955
34 0 0 -0.00085 -1.6590751e-06 -2.6714244e-10 -0.0066613448
35 0 0 -0.000875 -1.7184568e-06 -2.8530351e-10 -0.0068571942
36 0 0 -0.0009 -1.7776107e-06 -3.0937697e-10 -0.0070530439
37 0 0 -0.000925 -1.8365526e-06 -3.2496209e-10 -0.0072488928
38 0 0 -0.00095 -1.8957485e-06 -3.3106841e-10 -0.0074447422
39 0 0 -0.000975 -1.954935e-06 -3.5829905e-10 -0.0076405916
40 0 0 -0.001 -2.0141292e-06 -3.2392846e-10 -0.0078364409
