# Region type :   patch outlet_peri
# Faces           : 192
# Area            : 9.7389069984e-06
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
1                 	2.1484528485e-11
2                 	3.7132462383e-11
3                 	4.8426460452e-11
4                 	5.6523377190e-11
5                 	6.2305691862e-11
6                 	6.6432811000e-11
7                 	6.9388144962e-11
8                 	7.1519896431e-11
9                 	7.3074886701e-11
10                	7.4225617302e-11
11                	7.5091253837e-11
12                	7.5753444928e-11
13                	7.6267938357e-11
14                	7.6672901865e-11
15                	7.6994741697e-11
16                	7.7252077605e-11
17                	7.7458396344e-11
18                	7.7623784156e-11
19                	7.7756034959e-11
20                	7.7861347260e-11
21                	7.7944759240e-11
22                	7.8010421972e-11
23                	7.8061776690e-11
24                	7.8101676294e-11
25                	7.8132475800e-11
26                	7.8156105301e-11
27                	7.8174132259e-11
28                	7.8187816959e-11
29                	7.8198162140e-11
30                	7.8205957244e-11
31                	7.8211817533e-11
32                	7.8216217897e-11
33                	7.8219521574e-11
34                	7.8222004170e-11
35                	7.8223871568e-11
36                	7.8225284255e-11
37                	7.8226353167e-11
38                	7.8227165952e-11
39                	7.8227786405e-11
40                	7.8228262035e-11
41                	7.8228535946e-11
42                	7.8228778581e-11
43                	7.8229123278e-11
44                	7.8229163945e-11
45                	7.8229280278e-11
46                	7.8229369468e-11
47                	7.8229437846e-11
48                	7.8229490270e-11
49                	7.8229530461e-11
50                	7.8229561274e-11
51                	7.8229584898e-11
52                	7.8229603009e-11
53                	7.8229616895e-11
54                	7.8229627540e-11
55                	7.8229635702e-11
56                	7.8229641959e-11
57                	7.8229646756e-11
58                	7.8229650434e-11
59                	7.8229653254e-11
60                	7.8229655415e-11
61                	7.8229657073e-11
62                	7.8229658343e-11
63                	7.8229659317e-11
64                	7.8229660064e-11
65                	7.8229660637e-11
66                	7.8229661076e-11
67                	7.8229661412e-11
68                	7.8229661670e-11
69                	7.8229661868e-11
70                	7.8229662020e-11
71                	7.8229662136e-11
72                	7.8229662225e-11
73                	7.8229662294e-11
74                	7.8229662346e-11
75                	7.8229662386e-11
76                	7.8229662417e-11
77                	7.8229662441e-11
78                	7.8229662459e-11
79                	7.8229662473e-11
80                	7.8229662483e-11
81                	7.8229662491e-11
82                	7.8229662498e-11
83                	7.8229662502e-11
84                	7.8229662506e-11
85                	7.8229662509e-11
86                	7.8229662511e-11
87                	7.8229662513e-11
88                	7.8229662514e-11
