  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90076054e-01   9.90000000e-01
     1       3   9.59104666e-01   8.78475542e-05
     1       4   3.42470637e-04   1.27687022e-03
     1       5   6.55761040e-04   9.21669810e-07
     1       6   9.39339884e-08   4.72179633e-07
     2       1   7.57007796e-07   5.00055140e-01
     2       2   4.98962986e-01   4.08110258e-09
     2       3   2.63731589e-05   6.97390655e-04
     3       1   7.68267582e-04   3.33365598e-01
     3       2   3.33921956e-01   8.25094294e-07
     3       3   8.73648697e-05   4.69126554e-04
     4       1   5.18964495e-04   2.50024602e-01
     4       2   2.51099832e-01   7.64575138e-07
     4       3   6.59370154e-05   3.54804701e-04
     5       1   3.93641696e-04   2.00019690e-01
     5       2   2.01349515e-01   6.64650590e-07
     5       3   5.38570106e-05   2.86348028e-04
     6       1   3.18531776e-04   1.66683069e-01
     6       2   1.68158641e-01   5.52965675e-07
     6       3   4.61745501e-05   2.40694361e-04
     7       1   2.68409236e-04   1.42871158e-01
     7       2   1.44440317e-01   5.23145583e-07
     7       3   4.03169319e-05   2.08126148e-04
     8       1   2.32652036e-04   1.25012190e-01
     8       2   1.26649785e-01   4.86166131e-07
     8       3   3.63104618e-05   1.83720324e-04
     9       1   2.05856964e-04   1.11121842e-01
     9       2   1.12810822e-01   5.16987339e-07
     9       3   3.32151471e-05   1.64722480e-04
    10       1   1.84996576e-04   1.00009585e-01
    10       2   1.01739534e-01   5.21627521e-07
    10       3   3.10336299e-05   1.49538660e-04
