# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569673e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.66363464e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569673e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.66363464e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569673e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.66363464e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569673e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.66363464e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569673e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.66363464e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569673e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.66363464e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569673e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.66363464e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569673e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.66363464e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569673e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.66363464e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569673e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.66363464e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569673e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.66363464e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569673e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.66363464e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569673e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.66363464e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569673e-05
