  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90211995e-01   9.90000000e-01
     1       3   9.85070766e-01   7.15526934e-05
     1       4   4.31777145e-04   1.96844565e-03
     1       5   1.44268108e-03   3.62946987e-06
     1       6   4.88330308e-07   2.86631948e-06
     2       1   3.21508324e-06   5.00066797e-01
     2       2   4.97607259e-01   2.54898760e-08
     2       3   3.01430180e-05   1.02106121e-03
     2       4   1.47087475e-04   2.36649876e-06
     2       5   9.15339239e-07   2.68375947e-07
     3       1   1.24247696e-06   3.33371676e-01
     3       2   3.31317488e-01   8.33585898e-09
     3       3   1.00031636e-05   6.78742460e-04
     4       1   6.61057413e-04   2.50028596e-01
     4       2   2.47513690e-01   5.37923304e-06
     4       3   1.80673697e-05   5.06640563e-04
