  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90211995e-01   9.90000000e-01
     1       3   9.85070765e-01   7.15529688e-05
     1       4   4.31777760e-04   1.96844566e-03
     1       5   1.44268123e-03   3.62947096e-06
     1       6   4.88342475e-07   2.86631887e-06
     2       1   3.21508390e-06   5.00066797e-01
     2       2   4.97607258e-01   2.54912191e-08
     2       3   3.01443447e-05   1.02106122e-03
     2       4   1.47088598e-04   2.36650276e-06
     2       5   9.15494391e-07   2.68380911e-07
     3       1   4.11657905e-06   3.33371676e-01
     3       2   3.31317503e-01   1.77287024e-08
     3       3   1.13118183e-05   6.78743557e-04
     4       1   6.61068926e-04   2.50028593e-01
     4       2   2.47513645e-01   5.37949598e-06
     4       3   2.14961816e-05   5.06641410e-04
