  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   8.99233636e-01   8.99999120e-01
     1       3   7.56187695e-02   2.59627626e-03
     1       4   2.11554388e-02   1.00916054e-03
     1       5   3.77146805e-03   2.15700469e-04
     1       6   2.45612347e-03   4.86345102e-05
     1       7   8.81245938e-04   5.11208592e-05
     1       8   1.85313790e-03   1.30932984e-05
     1       9   5.14567073e-04   3.71615127e-06
     1      10   8.07950478e-04   2.76978622e-06
     1      11   5.40062692e-04   1.04804589e-06
     1      12   7.28119958e-04   4.63493193e-07
     1      13   5.80420328e-04   7.13037501e-07
     1      14   6.04918432e-04   2.58734521e-07
     1      15   7.61915761e-04   1.19705327e-07
     1      16   5.65105752e-04   8.64840009e-08
     1      17   7.56326132e-04   8.85608103e-08
     1      18   5.62435219e-04   9.39917763e-08
     1      19   6.03961644e-04   8.97074197e-08
     1      20   6.07451716e-04   1.26085295e-07
     1      21   5.80681522e-04   6.68261577e-08
     1      22   7.54316876e-04   6.09732437e-08
     1      23   8.21652876e-04   6.86791766e-08
     1      24   6.13122494e-04   6.48134354e-08
     1      25   6.10253349e-04   7.88927943e-08
     1      26   6.18459952e-04   5.25344242e-08
     1      27   5.83063275e-04   5.50853695e-08
     1      28   6.19613891e-04   6.52849340e-08
     1      29   5.09485499e-04   1.04431954e-07
     1      30   7.39823649e-04   8.04836762e-08
     1      31   7.17501435e-04   7.38845372e-08
     1      32   6.24620139e-04   7.28779187e-08
     1      33   5.30249932e-04   1.00580818e-07
     1      34   6.83798687e-04   8.39775846e-08
     1      35   5.91108698e-04   4.85007152e-08
     1      36   6.29656773e-04   8.84706702e-08
     1      37   5.88183242e-04   4.94651926e-08
     1      38   6.39865063e-04   6.39362531e-08
     1      39   5.04716284e-04   3.14529401e-08
     1      40   6.41641022e-04   4.64271702e-08
     1      41   4.90993913e-04   4.99946600e-08
     1      42   6.48276394e-04   7.40200351e-08
     1      43   4.82658305e-04   7.30048525e-08
     1      44   6.39302931e-04   6.10296539e-08
     1      45   4.58178171e-04   1.97277156e-07
     1      46   6.48681539e-04   1.58217494e-07
     1      47   5.47335443e-04   1.54461462e-07
     1      48   6.55268310e-04   1.43227233e-07
     1      49   5.04153244e-04   1.34495127e-07
     1      50   6.57015063e-04   1.57474116e-07
     1      51   5.64126532e-04   1.69387159e-07
     1      52   6.64537959e-04   1.34186626e-07
     1      53   5.12609505e-04   1.32624558e-07
     1      54   6.51102340e-04   1.40161100e-07
     1      55   5.09942454e-04   1.42212994e-07
     1      56   1.14518597e-03   2.38681763e-07
     1      57   5.13594827e-04   2.47856391e-07
     1      58   6.48125415e-04   2.62537564e-07
     1      59   5.68429574e-04   2.24518611e-07
     1      60   6.86752072e-04   1.70855519e-07
     1      61   4.67068808e-04   1.55772565e-07
     1      62   6.94213725e-04   1.44250744e-07
     1      63   4.77359657e-04   1.09686611e-07
     1      64   1.04820775e-03   1.21357085e-07
     1      65   5.12135585e-04   1.23477934e-07
     1      66   6.90754427e-04   1.27986951e-07
     1      67   4.69019174e-04   1.17563903e-07
     1      68   6.53005745e-04   1.12762146e-07
     1      69   4.63816701e-04   9.66566561e-08
     1      70   6.59744002e-04   8.72426600e-08
     1      71   5.60068774e-04   9.03180118e-08
     1      72   7.64818228e-04   8.33258721e-08
     1      73   4.69436296e-04   9.16854426e-08
     1      74   7.84483822e-04   1.02109021e-07
     1      75   4.81436556e-04   9.82660981e-08
     1      76   6.58970771e-04   9.32679724e-08
     1      77   5.00443665e-04   9.33303681e-08
     1      78   7.02043382e-04   1.12599480e-07
     1      79   4.63793352e-04   1.11926589e-07
     1      80   6.59339486e-04   1.15891304e-07
     1      81   8.34607958e-04   1.17066138e-07
     1      82   7.78507181e-04   1.76590966e-07
     1      83   4.67685370e-04   1.83492293e-07
     1      84   6.55805976e-04   1.51538122e-07
     1      85   4.68375697e-04   1.54860254e-07
     1      86   6.56551217e-04   1.52088222e-07
     1      87   5.31635207e-04   1.63189735e-07
     1      88   6.99144342e-04   1.38133982e-07
     1      89   4.78556161e-04   1.40567602e-07
     1      90   6.46826409e-04   1.28265668e-07
     1      91   5.65712916e-04   1.46677413e-07
     1      92   7.05631579e-04   1.61085853e-07
     1      93   5.02463038e-04   1.77782181e-07
     1      94   8.38257554e-04   2.16397531e-07
     1      95   4.91349338e-04   2.21184799e-07
     1      96   6.42354572e-04   2.23903314e-07
     1      97   7.35909420e-04   2.17646063e-07
     1      98   7.31005748e-04   1.51884606e-07
     1      99   5.33235453e-04   1.41388869e-07
     1     100   7.40463235e-04   1.53330677e-07
