  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90440461e-01   9.90000000e-01
     1       3   9.93405256e-01   7.05641342e-05
     1       4   4.35258587e-04   3.03397041e-03
     1       5   2.17177583e-03   1.29342348e-05
     1       6   8.25553457e-07   6.57031641e-06
     2       1   6.97673988e-06   5.00065678e-01
     2       2   4.97520638e-01   1.05032837e-07
     2       3   3.37403241e-05   1.54769675e-03
     2       4   1.51718211e-04   5.30563830e-06
     2       5   2.22106148e-06   7.91897013e-07
     3       1   3.17788063e-06   3.33370519e-01
     3       2   3.30764574e-01   3.00894975e-08
     3       3   2.17112827e-05   1.02762775e-03
     3       4   1.97711875e-05   3.16747413e-06
     4       1   3.49074253e-06   2.50027350e-01
     4       2   2.47337276e-01   5.48623674e-08
     4       3   2.22507707e-05   7.68139315e-04
     5       1   7.40914873e-04   2.00020979e-01
     5       2   1.97406202e-01   4.67193504e-06
     5       3   2.17479778e-05   6.15098307e-04
