  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacements)  ResRel(Solid-Mesh:Forces)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.90074304e-01   9.90000000e-01
     1       3   9.58047213e-01   8.79974655e-05
     1       4   3.42074540e-04   1.25813132e-03
     1       5   6.47647681e-04   8.84136657e-07
     1       6   9.31170003e-08   4.59667355e-07
     2       1   7.40921193e-07   5.00055181e-01
     2       2   4.98909613e-01   3.89027111e-09
     2       3   2.64234584e-05   6.88153556e-04
     3       1   7.57993720e-04   3.33365664e-01
     3       2   3.33904732e-01   7.58400929e-07
     3       3   8.73499400e-05   4.62862065e-04
     4       1   5.11969385e-04   2.50024628e-01
     4       2   2.51084184e-01   6.93505839e-07
     4       3   6.57995290e-05   3.50055129e-04
     5       1   3.88327624e-04   2.00019703e-01
     5       2   2.01334219e-01   5.89290187e-07
     5       3   5.40423296e-05   2.82442548e-04
     6       1   3.14135372e-04   1.66683103e-01
     6       2   1.68140886e-01   5.25424778e-07
     6       3   4.58351623e-05   2.37372525e-04
     7       1   2.64652064e-04   1.42871166e-01
     7       2   1.44423284e-01   4.31698659e-07
     7       3   4.02588463e-05   2.05289050e-04
     8       1   2.29461777e-04   1.25012209e-01
     8       2   1.26631410e-01   4.07242984e-07
     8       3   3.69384628e-05   1.81150206e-04
