  TimeWindow  TotalIterations  Iterations  Convergence
   340    1450       3       1
   341    1453       3       1
   342    1456       3       1
   343    1459       3       1
   344    1463       4       1
   345    1466       3       1
   346    1469       3       1
   347    1472       3       1
   348    1475       3       1
   349    1478       3       1
   350    1481       3       1
   351    1485       4       1
   352    1488       3       1
   353    1492       4       1
   354    1496       4       1
   355    1508      12       1
   356    1511       3       1
   357    1515       4       1
   358    1519       4       1
   359    1522       3       1
   360    1526       4       1
   361    1530       4       1
   362    1533       3       1
   363    1536       3       1
   364    1539       3       1
   365    1542       3       1
   366    1545       3       1
   367    1549       4       1
   368    1552       3       1
   369    1556       4       1
   370    1559       3       1
   371    1564       5       1
   372    1567       3       1
   373    1572       5       1
   374    1576       4       1
   375    1579       3       1
   376    1583       4       1
   377    1588       5       1
   378    1592       4       1
   379    1595       3       1
   380    1600       5       1
   381    1604       4       1
   382    1609       5       1
   383    1613       4       1
   384    1617       4       1
   385    1622       5       1
   386    1626       4       1
   387    1629       3       1
   388    1632       3       1
   389    1638       6       1
   390    1641       3       1
   391    1644       3       1
   392    1647       3       1
   393    1650       3       1
   394    1655       5       1
   395    1658       3       1
   396    1661       3       1
   397    1664       3       1
   398    1667       3       1
   399    1670       3       1
   400    1673       3       1
   401    1676       3       1
   402    1679       3       1
   403    1684       5       1
   404    1687       3       1
   405    1690       3       1
   406    1693       3       1
   407    1696       3       1
   408    1700       4       1
   409    1703       3       1
   410    1706       3       1
   411    1709       3       1
   412    1711       2       1
   413    1713       2       1
   414    1716       3       1
   415    1718       2       1
   416    1720       2       1
   417    1723       3       1
   418    1725       2       1
   419    1728       3       1
   420    1730       2       1
   421    1732       2       1
   422    1735       3       1
   423    1737       2       1
   424    1740       3       1
   425    1742       2       1
   426    1744       2       1
   427    1746       2       1
   428    1748       2       1
   429    1751       3       1
   430    1754       3       1
   431    1757       3       1
   432    1760       3       1
   433    1763       3       1
   434    1766       3       1
   435    1768       2       1
   436    1771       3       1
   437    1773       2       1
   438    1775       2       1
   439    1777       2       1
   440    1779       2       1
   441    1781       2       1
   442    1783       2       1
   443    1785       2       1
   444    1787       2       1
   445    1789       2       1
   446    1791       2       1
   447    1793       2       1
   448    1795       2       1
   449    1797       2       1
   450    1799       2       1
   451    1801       2       1
   452    1803       2       1
   453    1805       2       1
   454    1807       2       1
   455    1808       1       1
   456    1811       3       1
   457    1813       2       1
   458    1814       1       1
   459    1815       1       1
   460    1818       3       1
   461    1819       1       1
   462    1822       3       1
   463    1824       2       1
   464    1826       2       1
   465    1827       1       1
   466    1828       1       1
   467    1831       3       1
   468    1832       1       1
   469    1833       1       1
   470    1836       3       1
   471    1837       1       1
   472    1838       1       1
   473    1841       3       1
   474    1842       1       1
   475    1843       1       1
   476    1846       3       1
   477    1847       1       1
   478    1848       1       1
   479    1851       3       1
   480    1852       1       1
   481    1853       1       1
   482    1856       3       1
   483    1857       1       1
   484    1858       1       1
